#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]      LinEqp[eV]
     0.1000000000E+01   -0.2466718061E+01   -0.1158838328E+02   -0.4646864608E+01   -0.2180146547E+01    0.6888821151E+01    0.6882963458E+00   -0.3615557613E+01
     0.2000000000E+01   -0.1077339833E+00   -0.7559414151E+01   -0.1738185595E+01   -0.1630451612E+01    0.5856916470E+01    0.1847153032E+00   -0.1434742270E+01
     0.3000000000E+01    0.1034629524E+02    0.6792604031E+01    0.8981545254E+01   -0.1364749986E+01    0.2188503995E+01    0.4802113786E-02    0.8970851041E+01
     0.4000000000E+01    0.1034629524E+02    0.6792604031E+01    0.8981545174E+01   -0.1364750065E+01    0.2188503916E+01    0.4802116236E-02    0.8970851041E+01
     0.5000000000E+01    0.2152483378E+02    0.2857623984E+02    0.2241151915E+02    0.8866853677E+00   -0.6164724756E+01   -0.5019092751E-02    0.2241784979E+02
     0.6000000000E+01    0.2152483378E+02    0.2857623984E+02    0.2241151930E+02    0.8866855160E+00   -0.6164724608E+01   -0.5019100801E-02    0.2241784979E+02
     0.7000000000E+01    0.2180491907E+02    0.2849729310E+02    0.2215194724E+02    0.3470281705E+00   -0.6345344061E+01   -0.5215493871E-02    0.2215182816E+02
     0.8000000000E+01    0.2868482118E+02    0.3748117434E+02    0.2943093531E+02    0.7461141329E+00   -0.8052588793E+01   -0.4569368355E-01    0.2922281723E+02
