#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]      LinEqp[eV]
     0.1000000000E+01   -0.3745594856E+01   -0.1304184685E+02   -0.5576390479E+01   -0.1830795623E+01    0.7466059278E+01    0.6854151145E+00   -0.1305868074E+02
     0.2000000000E+01    0.4487797376E+01   -0.1630776608E+01    0.2707730254E+01   -0.1780067122E+01    0.4339338166E+01    0.2633645685E-01    0.2732267264E+01
     0.3000000000E+01    0.5600941541E+01    0.5104449272E+00    0.3974409102E+01   -0.1626532439E+01    0.3458694267E+01    0.2287303872E-01    0.4014383667E+01
     0.4000000000E+01    0.1013894673E+02    0.6570601525E+01    0.8766459703E+01   -0.1372487027E+01    0.2196019430E+01    0.4664669710E-02    0.8756051421E+01
     0.5000000000E+01    0.2098985144E+02    0.2755065103E+02    0.2159744359E+02    0.6075921596E+00   -0.5953205626E+01   -0.4790661186E-02    0.2159949138E+02
     0.6000000000E+01    0.2302642685E+02    0.3095797859E+02    0.2408223517E+02    0.1055808323E+01   -0.6875798623E+01   -0.6837498099E-02    0.2408346931E+02
     0.7000000000E+01    0.2533232521E+02    0.3323496039E+02    0.2610988471E+02    0.7775594991E+00   -0.7130339616E+01   -0.1503393800E-01    0.2639681589E+02
     0.8000000000E+01    0.2683071397E+02    0.3548892724E+02    0.2753888518E+02    0.7081712105E+00   -0.7951322253E+01   -0.2578178395E-01    0.2748639095E+02
