#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.9050663049E+00   -0.2427658885E+02   -0.1567367652E+02    0.0000000000E+00   -0.9507978637E+01
     0.2000000000E+01    0.3567684914E+01   -0.2313697796E+02   -0.1618649069E+02    0.0000000000E+00   -0.3382802355E+01
     0.3000000000E+01    0.5330716257E+01   -0.2081028918E+02   -0.1532010947E+02    0.0000000000E+00   -0.1594634539E+00
     0.4000000000E+01    0.7309948150E+01   -0.2034228573E+02   -0.1561495167E+02    0.0000000000E+00    0.2582614091E+01
     0.5000000000E+01    0.2304364088E+02   -0.8056297535E+01   -0.1508352475E+02    0.0000000000E+00    0.3007086809E+02
     0.6000000000E+01    0.2388606162E+02   -0.7166156795E+01   -0.1396908587E+02    0.0000000000E+00    0.3068899070E+02
     0.7000000000E+01    0.2603439215E+02   -0.7947049343E+01   -0.1616295895E+02    0.0000000000E+00    0.3425030176E+02
     0.8000000000E+01    0.2943569075E+02   -0.7162074033E+01   -0.1687377840E+02    0.0000000000E+00    0.3914739512E+02
