#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.3945684495E+01   -0.2489331871E+02   -0.1529127375E+02    0.0000000000E+00   -0.1354772946E+02
     0.2000000000E+01    0.4915123862E+01   -0.2188406094E+02   -0.1582208175E+02    0.0000000000E+00   -0.1146855328E+01
     0.3000000000E+01    0.9085855711E+01   -0.2065062885E+02   -0.1629875080E+02    0.0000000000E+00    0.4733977667E+01
     0.4000000000E+01    0.9355280193E+01   -0.2035036031E+02   -0.1628175041E+02    0.0000000000E+00    0.5286670289E+01
     0.5000000000E+01    0.2011266201E+02   -0.8603448829E+01   -0.1470756675E+02    0.0000000000E+00    0.2621677993E+02
     0.6000000000E+01    0.2535912640E+02   -0.6823294788E+01   -0.1407874006E+02    0.0000000000E+00    0.3261457168E+02
     0.7000000000E+01    0.2596157912E+02   -0.7972700199E+01   -0.1628438679E+02    0.0000000000E+00    0.3427326570E+02
     0.8000000000E+01    0.2613725290E+02   -0.8266861283E+01   -0.1641786374E+02    0.0000000000E+00    0.3428825536E+02
