 in_star,      iq
       1,       9
       2,      88
       3,      17
       4,      75
       5,      68
       6,      77
       7,     115
       8,      29
       9,      81
      10,     123
      11,      41
      12,      64
       1,      23
       2,      69
       3,      15
       4,      82
       5,      89
       6,      55
       7,      42
       8,     103
       9,      71
      10,      34
      11,     111
      12,      93
