 imode freq[a.u.] freq[Thz] freq[CMM1]
   1 -0.166891853377653401E-09 -0.549047822163469521E-06 -0.183142640020473599E-04
   2 -0.148364399964016608E-09 -0.488095428495855597E-06 -0.162811109976574414E-04
   3 -0.968630087364759223E-10 -0.318663990594068613E-06 -0.106294865694742931E-04
   4  0.126368963724883404E-01  0.415733919409465642E+02  0.138673908670999867E+04
   5  0.126368963724883421E-01  0.415733919409465642E+02  0.138673908670999867E+04
   6  0.126368963724883456E-01  0.415733919409465784E+02  0.138673908670999913E+04
