#           band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]       LinEqp[eV]
         1       1.5207000000e+00       0.0000000000e+00      -6.7180000000e-01      -2.1925000000e+00       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         2       1.5206000000e+00       0.0000000000e+00      -6.7480000000e-01      -2.1954000000e+00       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         3       4.8632000000e+00       0.0000000000e+00       3.4273000000e+00      -1.4359000000e+00       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         4       4.8632000000e+00       0.0000000000e+00       3.4266000000e+00      -1.4366000000e+00       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         5       2.3868800000e+01       0.0000000000e+00       2.4762600000e+01       8.9380000000e-01       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         6       2.3868800000e+01       0.0000000000e+00       2.4762500000e+01       8.9370000000e-01       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         7       2.5835100000e+01       0.0000000000e+00       2.6812500000e+01       9.7740000000e-01       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
         8       2.5835100000e+01       0.0000000000e+00       2.6812300000e+01       9.7720000000e-01       0.0000000000e+00       0.0000000000e+00       0.0000000000e+00
