,DW,FM,ibn,ikr,iq,weight
0,19.411596896,-31.785118960000002,1,1,1,1.0
1,367.41617759999997,-342.83570047,2,1,1,1.0
2,367.41620061000003,-342.83571639,3,1,1,1.0
3,367.41616713,-342.83571062,4,1,1,1.0
4,329.63430946999995,-344.24409546000004,5,1,1,1.0
5,329.63444777999996,-344.2440885,6,1,1,1.0
6,329.63644773000004,-344.24409736999996,7,1,1,1.0
7,19.897786748999998,-51.0687959,8,1,1,1.0
8,75.137378439,-159.88077311625,1,1,2,8.0
9,1422.17502915,-1075.9359737832501,2,1,2,8.0
10,1422.175117935,-1075.9359249096249,3,1,2,8.0
11,1422.1749884925,-1075.93592940375,4,1,2,8.0
12,1275.93098020625,-1613.7655923000002,5,1,2,8.0
13,1275.9315152825,-1613.7655334625001,6,1,2,8.0
14,1275.9392567,-1613.76558785,7,1,2,8.0
15,77.01929629187501,-412.44485906500006,8,1,2,8.0
16,60.89016503525,-1042.5089686475,1,1,3,4.0
17,1152.508565465,-723.670532715,2,1,3,4.0
18,1152.508637425,-723.6705427575,3,1,3,4.0
19,1152.5085325725001,-723.670558924,4,1,3,4.0
20,1033.9946585025,-1594.7645814725001,5,1,3,4.0
21,1033.9950921825,-1594.7645409375,6,1,3,4.0
22,1034.0013657425,-1594.7645649125002,7,1,3,4.0
23,62.41524205225,-707.8233829599999,8,1,3,4.0
24,64.75688311233334,-7970.649581476667,1,1,4,6.0
25,1225.6965047183332,781.521190518,2,1,4,6.0
26,1225.6965812749997,781.52118238,3,1,4,6.0
27,1225.6964697283336,781.5211620678334,4,1,4,6.0
28,1099.6565898566666,2640.852415286833,5,1,4,6.0
29,1099.6570510366666,2640.852497845,6,1,4,6.0
30,1099.6637229416667,2640.85242238,7,1,4,6.0
31,66.37880733883334,1067.9790008383334,8,1,4,6.0
32,53.817903461791666,-1026.5593890012499,1,1,5,24.0
33,1018.6471768733333,-887.8721832254165,2,1,5,24.0
34,1018.6472404758333,-887.87218492,3,1,5,24.0
35,1018.6471478179168,-887.8721930133333,4,1,5,24.0
36,913.8984050487501,-2907.7930461708333,5,1,5,24.0
37,913.8987883229166,-2907.793022504167,6,1,5,24.0
38,913.9043331899999,-2907.7930435125,7,1,5,24.0
39,55.165846066916664,497.57052002666666,8,1,5,24.0
40,56.30429247149999,-111.5722802625,1,1,6,12.0
41,1065.7087118633333,-954.6398836225002,2,1,6,12.0
42,1065.7087784091666,-954.6398840408333,3,1,6,12.0
43,1065.7086814450001,-954.63988939,4,1,6,12.0
44,956.1205431841666,-1176.9531752383334,5,1,6,12.0
45,956.1209441491666,-1176.9531535200001,6,1,6,12.0
46,956.1267451833334,-1176.9531841483333,7,1,6,12.0
47,57.714510071250004,-839.1927626166668,8,1,6,12.0
48,52.30887898933333,-632.0759615953333,1,1,7,3.0
49,990.0848692666667,-915.9772606766666,2,1,7,3.0
50,990.08493102,-936.2207871999999,3,1,7,3.0
51,990.0848409299997,-911.4988172633334,4,1,7,3.0
52,888.2731955099999,700.8341025966665,5,1,7,3.0
53,888.2735679399999,615.1650901246668,6,1,7,3.0
54,888.2789573700002,919.4731038266667,7,1,7,3.0
55,53.61902602433333,-166.83658969,8,1,7,3.0
56,50.6877778635,-710.4489260700002,1,1,8,6.0
57,959.4012123333332,-981.2851043499999,2,1,8,6.0
58,959.4012722000001,-981.28510681,3,1,8,6.0
59,959.4011849166668,-981.2851105899999,4,1,8,6.0
60,860.7447776083335,-1298.3276045999999,5,1,8,6.0
61,860.74513859,-1298.3275780000001,6,1,8,6.0
62,860.750360975,-1298.3275990733334,7,1,8,6.0
63,51.95732221266667,135.63906573166665,8,1,8,6.0
