 imode freq[a.u.] freq[Thz] freq[CMM1]
   1 -0.247080571370697568E-09 -0.812856031402619472E-06 -0.271139586641175410E-04
   2 -0.142359945868010817E-09 -0.468341723458903049E-06 -0.156221983229112149E-04
   3 -0.911248977060882999E-18 -0.299786512150364346E-14 -0.999980166780460992E-13
   4  0.148724744797856991E-01  0.489280906050594169E+02  0.163206542724498468E+04
   5  0.148724744797857026E-01  0.489280906050594311E+02  0.163206542724498513E+04
   6  0.148724744797857043E-01  0.489280906050594311E+02  0.163206542724498536E+04
