T,gap
126.83982683982683, 7.0694391595665484
158.00865800865802, 7.077008023823311
160.60606060606062, 7.070313921747043
196.10389610389603, 7.049210025643147
222.0779220779221, 7.0673008520142275
246.3203463203463, 7.061510464058235
264.5021645021645, 7.05668996608487
281.8181818181818, 7.051871536107205
300.86580086580085, 7.0460935561254034
300.86580086580085, 7.038450244023492
302.59740259740255, 7.0556435602613945
360.6060606060606, 7.048817106460419
386.5800865800866, 7.035379270411117
422.943722943723, 7.020005790387956
467.9653679653679, 7.001745388369592
506.06060606060606, 6.971081148151212
535.4978354978355, 6.9538133840681615
587.4458874458874, 6.945090578211597
627.2727272727273, 6.929708826205641
