T,gap
124.24242424242422, 7.13919058648358
158.00865800865802, 7.145797832740508
158.00865800865802, 7.138154520638597
159.74025974025977, 7.121908346430639
194.3722943722944, 7.12755811067913
219.4805194805195, 7.129408966829349
264.5021645021645, 7.136944743154935
280.95238095238096, 7.128306725122012
300.86580086580085, 7.1167941930680785
302.59740259740255, 7.133032095293242
302.59740259740255, 7.130165853255026
302.59740259740255, 7.125388783191331
359.7402597402598, 7.117608983373315
387.4458874458874, 7.095568285217967
422.0779220779221, 7.077332699147986
467.0995670995671, 7.0772251633716605
509.5238095238096, 7.054193895276698
537.2294372294373, 7.061771031516255
587.4458874458874, 7.014835801141534
