T,gap
115.6044034344,	7.1476842780
158.0141793438,	7.1403822723
189.8571377676,	7.1409480209
206.3949552888,	7.1457618725
224.0265061099,	7.1360728918
245.2349567138,	7.1330261142
252.3745056824,	7.1438936193
300.6733406961,	7.1353760376
301.7171969076,	7.1124140511
345.4629662617,	7.1316965335
363.0838291353,	7.1201948769
392.3759307421,	7.0881353094
421.9138551427,	7.0977672878
452.6488296697,	7.1104189675
483.2056717375,	7.0928593822
505.6289857138,	7.0958534326
546.7455199686,	7.0692176422
607.9090811928,	7.0425576259
651.5301578254,	7.0406922227
