T,gap
0, 7.327707006369427
50, 7.327707006369427
100, 7.326751592356688
150, 7.32484076433121
200, 7.323885350318472
250, 7.321019108280255
300, 7.3162420382165605
350, 7.309554140127388
400, 7.301910828025478
450, 7.29140127388535
500, 7.280891719745223
550, 7.26656050955414
600, 7.252229299363058
650, 7.237898089171974
