Data,T,lower,higher
A1,128.9643653360,7.0580480864,7.0847966652
A1,626.5127348583,6.9145861261,6.9498451602
B1,115.6021505376,7.0600831541,7.0868301075
B1,651.0609318996,6.9645534050,6.9985949821
A2,125.5678163548,7.1205993339,7.1515108418
A2,537.8510884636,7.0396027787,7.0777869098
B2,115.6044034344,7.1325772204,7.1627899106
B2,651.5301578254,7.0207527878,7.0588204069
