T,gap
128.9643653360,	7.0708152030
162.1223091205,	7.0786776249
162.0255342332,	7.0732066180
198.1942522885,	7.0512781454
223.3019591538,	7.0707005068
246.7680771905,	7.0639850465
265.5603265973,	7.0597068796
283.1518505509,	7.0542143671
304.4423257514,	7.0578358985
303.1125671152,	7.0493268769
301.7935612442,	7.0414257450
362.1165743124,	7.0516867504
387.8228517767,	7.0382816364
424.0883447193,	7.0218241708
467.3968989025,	7.0035344339
506.9634907777,	6.9736990946
536.1536641840,	6.9572502312
586.7095821475,	6.9486781267
626.5127348583,	6.9322163600
