T,gap
0, 7.103180577384399
50, 7.102109355612541
100, 7.101989411862023
150, 7.0980478120605515
200, 7.094106212259079
250, 7.088255852427827
300, 7.07953718256266
350, 7.069863098684755
400, 7.055411944743155
450, 7.040003308793118
500, 7.019819670775085
550, 6.999638100752751
600, 6.975630738688063
650, 6.950674166597734
