 iks ibn en[eV] imselfen[meV]
   1   1   -0.2373515059E+02    0.1424448222E+01
   1   2   -0.2248927880E+01    0.4954786788E+02
   1   3   -0.2248927879E+01    0.4954781552E+02
   1   4   -0.2248927879E+01    0.4954773887E+02
   1   5    0.3356359483E+01    0.7738132159E+02
   1   6    0.3356359485E+01    0.7738208432E+02
   1   7    0.3356359486E+01    0.7738204435E+02
   1   8    0.1152629975E+02    0.2915029834E+03
   2   1   -0.2199490832E+02    0.7924755820E+02
   2   2   -0.8815632881E+01    0.1416142070E+03
   2   3   -0.4007815941E+01    0.1822102768E+03
   2   4   -0.4007815941E+01    0.1822097301E+03
   2   5    0.5565378843E+01    0.3328838818E+03
   2   6    0.5565378843E+01    0.3328843561E+03
   2   7    0.6098579552E+01    0.2329649614E+03
   2   8    0.1253227078E+02    0.1292908565E+03
   3   1   -0.1778662398E+02    0.3578968036E+03
   3   2   -0.1572229493E+02    0.1720777891E+02
   3   3   -0.5068100095E+01    0.1007972137E+03
   3   4   -0.5068100095E+01    0.1007967768E+03
   3   5    0.6229220057E+01    0.5327503688E+03
   3   6    0.6229220057E+01    0.5327502764E+03
   3   7    0.6972828904E+01    0.3447375106E+02
   3   8    0.1333733040E+02    0.5110373932E+02
   4   1   -0.2141854876E+02    0.5543931077E+02
   4   2   -0.6633914708E+01    0.2484009947E+03
   4   3   -0.6410970449E+01    0.9480913801E+02
   4   4   -0.6410970447E+01    0.9480905811E+02
   4   5    0.2248927879E+01    0.8660114283E+02
   4   6    0.8080186247E+01    0.2517598376E+03
   4   7    0.9379679077E+01    0.1128910075E+04
   4   8    0.9379679079E+01    0.1128911259E+04
   5   1   -0.1761045947E+02    0.1997326595E+03
   5   2   -0.1300178273E+02    0.1338896934E+03
   5   3   -0.8988478486E+01    0.2810919108E+03
   5   4   -0.7170473177E+01    0.1551078962E+03
   5   5    0.3872786494E+01    0.2810436945E+03
   5   6    0.9218995934E+01    0.3835926029E+03
   5   7    0.1060602950E+02    0.6328264470E+03
   5   8    0.1122474725E+02    0.4980352428E+03
   6   1   -0.1919739092E+02    0.1006689906E+03
   6   2   -0.1086357791E+02    0.2320835532E+03
   6   3   -0.9912264783E+01    0.6800666035E+02
   6   4   -0.5284531702E+01    0.2425808059E+03
   6   5    0.5743049862E+01    0.8240951776E+03
   6   6    0.7798031584E+01    0.2511546077E+03
   6   7    0.1018610798E+02    0.3555964462E+03
   6   8    0.1182416039E+02    0.2202976918E+03
   7   1   -0.1490770786E+02    0.4242374051E+02
   7   2   -0.1490770786E+02    0.4242376005E+02
   7   3   -0.8607648529E+01    0.3992827459E+02
   7   4   -0.8607648529E+01    0.3992827471E+02
   7   5    0.2558476178E+01    0.9398870517E+02
   7   6    0.2558476179E+01    0.9398854202E+02
   7   7    0.1460861487E+02    0.7888894405E+02
   7   8    0.1460861487E+02    0.7888847045E+02
   8   1   -0.1404875464E+02    0.9251550093E+02
   8   2   -0.1404875464E+02    0.9251550889E+02
   8   3   -0.1070028362E+02    0.7421082991E+02
   8   4   -0.1070028362E+02    0.7421074386E+02
   8   5    0.8307942381E+01    0.2846256753E+03
   8   6    0.8307942385E+01    0.2846264920E+03
   8   7    0.1026302144E+02    0.6881620464E+03
   8   8    0.1026302144E+02    0.6881626331E+03
