 in_star,      iq
       1,       7
       2,      59
       3,      10
       4,      32
       5,      47
       6,      34
       7,      56
       8,      19
       9,      37
      10,      62
      11,      25
      12,      44
       1,      15
       2,      27
       3,      12
       4,      54
       5,      39
       6,      36
       7,      30
       8,      51
       9,      45
      10,      24
      11,      57
      12,      42
