 in_star,      iq
       1,      11
       2,     503
       3,      18
       4,     128
       5,     447
       6,     130
       7,     464
       8,      67
       9,     137
      10,     506
      11,      81
      12,     440
       1,      63
       2,      83
       3,      56
       4,     458
       5,     139
       6,     392
       7,     122
       8,     455
       9,     441
      10,      80
      11,     497
      12,     146
