 in_star,      iq
       1,      11
       2,     123
       3,      26
       4,     144
       5,      93
       6,     146
       7,     204
       8,      41
       9,     151
      10,     214
      11,      61
      12,      88
       1,      33
       2,     137
       3,      18
       4,     116
       5,     167
       6,      78
       7,      56
       8,     183
       9,     103
      10,      46
      11,     193
      12,     172
