 imode freq[a.u.] freq[Thz] freq[CMM1]
   1 -0.232864415356890158E-09 -0.766087124826606797E-06 -0.255539158635740849E-04
   2 -0.187197707348183156E-09 -0.615850872606323639E-06 -0.205425739097920763E-04
   3 -0.174018262218216658E-09 -0.572492580997226078E-06 -0.190962969787994503E-04
   4  0.148769912911952684E-01  0.489429502007637964E+02  0.163256109000459901E+04
   5  0.148769912911952702E-01  0.489429502007638035E+02  0.163256109000459924E+04
   6  0.148769912911952736E-01  0.489429502007638177E+02  0.163256109000459969E+04
