   1,   1, 0.368365749475378190E-04, 0.000000000000000000E+00
   1,   2, 0.000000000000000000E+00, 0.000000000000000000E+00
   1,   3, 0.000000000000000000E+00, 0.000000000000000000E+00
   1,   4,-0.126768388672945140E-20,-0.337778841358402944E-35
   1,   5, 0.126768388672945140E-20, 0.453729323960771719E-36
   1,   6, 0.331958219562896898E-04,-0.241636396671349821E-19
   2,   1, 0.000000000000000000E+00, 0.000000000000000000E+00
   2,   2, 0.897305137062394219E-04, 0.000000000000000000E+00
   2,   3, 0.000000000000000000E+00, 0.000000000000000000E+00
   2,   4,-0.126768388672945140E-20, 0.453729323960771719E-36
   2,   5, 0.126768388672945140E-20, 0.179812961842858144E-35
   2,   6,-0.126768388672945140E-20, 0.453729323960771719E-36
   3,   1, 0.000000000000000000E+00, 0.000000000000000000E+00
   3,   2,-0.507073554691780561E-20, 0.000000000000000000E+00
   3,   3, 0.368365749475378258E-04, 0.000000000000000000E+00
   3,   4, 0.331958219562896898E-04,-0.241636396671349821E-19
   3,   5, 0.380305166018835346E-20, 0.383151773754480141E-35
   3,   6,-0.380305166018835346E-20,-0.383151773754480141E-35
   4,   1, 0.253536777345890281E-20,-0.337778841358402944E-35
   4,   2, 0.253536777345890281E-20,-0.146756070562541153E-35
   4,   3, 0.331958219562896898E-04, 0.241636396671349821E-19
   4,   4, 0.368323478140989899E-04, 0.000000000000000000E+00
   4,   5, 0.507073554691780561E-20, 0.000000000000000000E+00
   4,   6,-0.152122066407534138E-19, 0.000000000000000000E+00
   5,   1, 0.126768388672945159E-20, 0.784298236763941710E-36
   5,   2, 0.126768388672945121E-20,-0.979173400632135484E-35
   5,   3,-0.126768388672945121E-20, 0.784298236763941710E-36
   5,   4, 0.507073554691780561E-20, 0.000000000000000000E+00
   5,   5, 0.897253411328417002E-04, 0.000000000000000000E+00
   5,   6, 0.507073554691780561E-20, 0.000000000000000000E+00
   6,   1, 0.331958219562896898E-04, 0.241636396671349821E-19
   6,   2,-0.253536777345890243E-20,-0.146756070562541153E-35
   6,   3, 0.253536777345890243E-20,-0.784298236763941710E-36
   6,   4,-0.101414710938356112E-19, 0.000000000000000000E+00
   6,   5, 0.000000000000000000E+00, 0.000000000000000000E+00
   6,   6, 0.368323478140989899E-04, 0.000000000000000000E+00
