#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.3757213251E+01   -0.2450461284E+02   -0.1521214470E+02    0.0000000000E+00   -0.1304968139E+02
     0.2000000000E+01    0.4468679058E+01   -0.2201602055E+02   -0.1589988401E+02    0.0000000000E+00   -0.1647457485E+01
     0.3000000000E+01    0.5584771421E+01   -0.2036876214E+02   -0.1528210626E+02    0.0000000000E+00    0.4981155436E+00
     0.4000000000E+01    0.1011696455E+02   -0.1999287116E+02   -0.1642679293E+02    0.0000000000E+00    0.6550886315E+01
     0.5000000000E+01    0.2095554411E+02   -0.8104582387E+01   -0.1466456824E+02    0.0000000000E+00    0.2751552996E+02
     0.6000000000E+01    0.2298993582E+02   -0.8060831841E+01   -0.1599039962E+02    0.0000000000E+00    0.3091950360E+02
     0.7000000000E+01    0.2529035922E+02   -0.8074656636E+01   -0.1597546798E+02    0.0000000000E+00    0.3319117056E+02
     0.8000000000E+01    0.2678269902E+02   -0.7013716352E+01   -0.1566822386E+02    0.0000000000E+00    0.3543720652E+02
