#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.6288148221E+01   -0.2540097612E+02   -0.1509302619E+02    0.0000000000E+00   -0.1659609815E+02
     0.2000000000E+01    0.7079947814E+01   -0.2100072747E+02   -0.1591274953E+02    0.0000000000E+00    0.1991969883E+01
     0.3000000000E+01    0.1196617862E+02   -0.1990738723E+02   -0.1669445642E+02    0.0000000000E+00    0.8753247816E+01
     0.4000000000E+01    0.1196617862E+02   -0.1990738542E+02   -0.1669445634E+02    0.0000000000E+00    0.8753249542E+01
     0.5000000000E+01    0.2169359207E+02   -0.8977575026E+01   -0.1590749148E+02    0.0000000000E+00    0.2862350853E+02
     0.6000000000E+01    0.2169359207E+02   -0.8977575397E+01   -0.1590749282E+02    0.0000000000E+00    0.2862350949E+02
     0.7000000000E+01    0.2233812170E+02   -0.9288002368E+01   -0.1590928391E+02    0.0000000000E+00    0.2895940324E+02
     0.8000000000E+01    0.2894001184E+02   -0.6808601569E+01   -0.1572762301E+02    0.0000000000E+00    0.3785903328E+02
