#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.1000000000E+03    0.1125302909E+02    0.7832655497E+01    0.1032075175E+02   -0.9322773453E+00    0.2488099845E+01    0.7276203015E-02
     0.1010000000E+03    0.1161999915E+02    0.8078777288E+01    0.1065326503E+02   -0.9667341221E+00    0.2574589712E+01    0.5397813759E-02
     0.1020000000E+03    0.1161999927E+02    0.8078777417E+01    0.1065326513E+02   -0.9667341366E+00    0.2574589686E+01    0.5397825859E-02
     0.1030000000E+03    0.1189682467E+02    0.8652811169E+01    0.1105222890E+02   -0.8445957659E+00    0.2393783691E+01    0.1407048488E-01
     0.1040000000E+03    0.1189682482E+02    0.8652811357E+01    0.1105222910E+02   -0.8445957157E+00    0.2393783698E+01    0.1407047646E-01
     0.1050000000E+03    0.1296167893E+02    0.1042072997E+02    0.1222060918E+02   -0.7410697555E+00    0.1799914092E+01    0.3309574274E-02
     0.1060000000E+03    0.1364320502E+02    0.1080681148E+02    0.1282503993E+02   -0.8181650886E+00    0.2018249903E+01    0.3180811431E-02
     0.1070000000E+03    0.1364320515E+02    0.1080681165E+02    0.1282504016E+02   -0.8181649881E+00    0.2018249957E+01    0.3180810216E-02
     0.1080000000E+03    0.1536450125E+02    0.1964709943E+02    0.1550402745E+02    0.1395261928E+00   -0.4143105394E+01   -0.6539774366E-02
     0.1090000000E+03    0.1766343163E+02    0.2329994680E+02    0.1817486814E+02    0.5114365148E+00   -0.5125085735E+01   -0.3180875429E-02
     0.1100000000E+03    0.1775461344E+02    0.2338878727E+02    0.1827515164E+02    0.5205381937E+00   -0.5113646810E+01   -0.3087361244E-02
     0.1110000000E+03    0.1775461347E+02    0.2338878731E+02    0.1827515194E+02    0.5205384623E+00   -0.5113646549E+01   -0.3087364042E-02
     0.1120000000E+03    0.1781367812E+02    0.2346986355E+02    0.1834258568E+02    0.5289075670E+00   -0.5127289273E+01   -0.3125957183E-02
     0.1130000000E+03    0.1781367815E+02    0.2346986357E+02    0.1834258616E+02    0.5289080088E+00   -0.5127288818E+01   -0.3125961861E-02
     0.1140000000E+03    0.1801832181E+02    0.2371958854E+02    0.1854772063E+02    0.5293988219E+00   -0.5171875116E+01   -0.3148272056E-02
     0.1150000000E+03    0.1909267789E+02    0.2553825328E+02    0.2004620730E+02    0.9535294121E+00   -0.5492069357E+01   -0.5412661745E-02
     0.1160000000E+03    0.1935850575E+02    0.2581686391E+02    0.2033945046E+02    0.9809447046E+00   -0.5477504164E+01   -0.4170723856E-02
     0.1170000000E+03    0.1935850586E+02    0.2581686405E+02    0.2033945062E+02    0.9809447615E+00   -0.5477504129E+01   -0.4170730930E-02
     0.1180000000E+03    0.1965833007E+02    0.2575970770E+02    0.2023722180E+02    0.5788917334E+00   -0.5522854463E+01   -0.1329467086E-01
     0.1190000000E+03    0.1982936384E+02    0.2596248959E+02    0.2045634574E+02    0.6269818983E+00   -0.5506250884E+01   -0.1371006438E-01
     0.1200000000E+03    0.1982936386E+02    0.2596248961E+02    0.2045634548E+02    0.6269816169E+00   -0.5506251164E+01   -0.1371011286E-01
