#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.6861742608E+01   -0.2559732339E+02   -0.1503519114E+02    0.0000000000E+00   -0.1742387486E+02
     0.2000000000E+01    0.8880566564E+01   -0.2045911748E+02   -0.1614435199E+02    0.0000000000E+00    0.4565801072E+01
     0.3000000000E+01    0.1249460503E+02   -0.1965183628E+02   -0.1681501457E+02    0.0000000000E+00    0.9657783315E+01
     0.4000000000E+01    0.1249460503E+02   -0.1965183700E+02   -0.1681501371E+02    0.0000000000E+00    0.9657781734E+01
     0.5000000000E+01    0.2130316277E+02   -0.9216021446E+01   -0.1597315145E+02    0.0000000000E+00    0.2806029278E+02
     0.6000000000E+01    0.2130316278E+02   -0.9216019178E+01   -0.1597314347E+02    0.0000000000E+00    0.2806028707E+02
     0.7000000000E+01    0.2183963856E+02   -0.9412669192E+01   -0.1593957703E+02    0.0000000000E+00    0.2836654640E+02
     0.8000000000E+01    0.2862914841E+02   -0.7280017079E+01   -0.1608587879E+02    0.0000000000E+00    0.3743501012E+02
