#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.9028653025E+00   -0.2426852914E+02   -0.1567226323E+02    0.0000000000E+00   -0.9499131208E+01
     0.2000000000E+01    0.3566147091E+01   -0.2313134920E+02   -0.1618651810E+02    0.0000000000E+00   -0.3378684009E+01
     0.3000000000E+01    0.5318871715E+01   -0.2081422374E+02   -0.1532314920E+02    0.0000000000E+00   -0.1722028244E+00
     0.4000000000E+01    0.7294100464E+01   -0.2034731798E+02   -0.1561829219E+02    0.0000000000E+00    0.2565074675E+01
     0.5000000000E+01    0.2301126965E+02   -0.8057310147E+01   -0.1509439332E+02    0.0000000000E+00    0.3004835282E+02
     0.6000000000E+01    0.2385022230E+02   -0.7169470951E+01   -0.1398406632E+02    0.0000000000E+00    0.3066481767E+02
     0.7000000000E+01    0.2600846913E+02   -0.7945482520E+01   -0.1616953655E+02    0.0000000000E+00    0.3423252315E+02
     0.8000000000E+01    0.2935033115E+02   -0.7168609753E+01   -0.1688634844E+02    0.0000000000E+00    0.3906806983E+02
