 in_star,      iq
       1,       8
       2,     119
       3,      12
       4,      50
       5,      99
       6,      52
       7,     110
       8,      28
       9,      56
      10,     122
      11,      36
      12,      95
       1,      24
       2,      38
       3,      20
       4,     107
       5,      58
       6,      80
       7,      47
       8,     104
       9,      96
      10,      35
      11,     116
      12,      62
