 in_star,      iq
       1,      94
       2,     420
       3,     483
       4,     175
       5,     245
       6,     332
       7,     406
       8,     189
       9,     280
      10,     371
      11,     234
      12,     287
      13,     206
      14,     308
      15,     315
      16,     343
      17,     108
      18,     469
      19,     413
      20,     182
      21,     427
      22,     346
      23,     168
      24,     231
       1,     492
       2,     166
       3,     103
       4,     411
       5,     341
       6,     254
       7,     180
       8,     397
       9,     306
      10,     215
      11,     352
      12,     299
      13,     380
      14,     278
      15,     271
      16,     243
      17,     478
      18,     117
      19,     173
      20,     404
      21,     159
      22,     240
      23,     418
      24,     355
