 in_star,      iq
       1,      14
       2,     284
       3,      42
       4,     320
       5,     228
       6,     322
       7,     488
       8,      70
       9,     329
      10,     509
      11,     105
      12,     221
       1,      60
       2,     302
       3,      32
       4,     266
       5,     358
       6,     200
       7,      98
       8,     452
       9,     249
      10,      77
      11,     473
      12,     365
