 in_star,      iq
       1,      85
       2,     429
       3,     474
       4,     184
       5,     310
       6,     267
       7,     471
       8,     124
       9,     208
      10,     443
      11,     162
      12,     359
      13,     141
      14,     373
      15,     250
      16,     408
      17,      99
      18,     460
      19,     422
      20,     191
      21,     499
      22,     274
      23,      96
      24,     303
       1,     501
       2,     157
       3,     112
       4,     402
       5,     276
       6,     319
       7,     115
       8,     462
       9,     378
      10,     143
      11,     424
      12,     227
      13,     445
      14,     213
      15,     336
      16,     178
      17,     487
      18,     126
      19,     164
      20,     395
      21,      87
      22,     312
      23,     490
      24,     283
