 in_star,      iq
       1,      12
       2,     430
       3,      26
       4,     192
       5,     374
       6,     194
       7,     472
       8,      68
       9,     201
      10,     507
      11,      89
      12,     367
       1,      62
       2,     156
       3,      48
       4,     394
       5,     212
       6,     328
       7,     114
       8,     454
       9,     377
      10,      79
      11,     489
      12,     219
