 in_star,      iq
       1,      84
       2,     502
       3,     466
       4,     120
       5,     383
       6,     203
       7,     463
       8,     123
       9,     144
      10,     442
      11,     154
      12,     432
      13,     140
      14,     446
      15,     186
      16,     400
      17,      91
      18,     459
      19,     495
      20,     127
      21,     498
      22,     210
      23,      88
      24,     376
