 iks ibn en[eV] re[meV] im[meV]
   1   1   -0.2576167153E+02   -0.1128378824E+03    0.1056527391E+01
   1   2   -0.3553191296E+01   -0.9510243691E+03    0.1658050841E+03
   1   3   -0.3553189646E+01   -0.9510308346E+03    0.1658050500E+03
   1   4   -0.3553156656E+01   -0.9509775264E+03    0.1658049349E+03
   1   5    0.4393861854E+01   -0.1496520568E+04    0.2718675241E+03
   1   6    0.4393883644E+01   -0.1496512867E+04    0.2718865529E+03
   1   7    0.4393842054E+01   -0.1496511901E+04    0.2718502198E+03
   1   8    0.1191173506E+02    0.1671858680E+03    0.8200306420E+03
   2   1   -0.2369880053E+02   -0.1673277522E+03    0.1491219786E+03
   2   2   -0.1042158180E+02   -0.4382843032E+03    0.2599202791E+03
   2   3   -0.5357858596E+01   -0.8777287058E+03    0.5597851407E+03
   2   4   -0.5357871456E+01   -0.8777965000E+03    0.5597852755E+03
   2   5    0.6662794134E+01   -0.1276767546E+04    0.1389613409E+04
   2   6    0.6662812884E+01   -0.1276549027E+04    0.1389590846E+04
   2   7    0.6836472484E+01   -0.4042656322E+03    0.4718866625E+03
   2   8    0.1331050871E+02   -0.5979314110E+03    0.2556877513E+03
   3   1   -0.1953238884E+02   -0.3884890663E+03    0.2860818046E+03
   3   2   -0.1725691761E+02   -0.4201144763E+03    0.4419767902E+02
   3   3   -0.6496274737E+01   -0.7959315568E+03    0.2694631685E+03
   3   4   -0.6496246211E+01   -0.7958821383E+03    0.2694505627E+03
   3   5    0.7353555784E+01   -0.9145619495E+03    0.5425453206E+03
   3   6    0.7353526594E+01   -0.9146836171E+03    0.5425299011E+03
   3   7    0.7461693364E+01   -0.1072390067E+03    0.1633493894E+03
   3   8    0.1436681498E+02   -0.8641379066E+03    0.1251825152E+03
   4   1   -0.2301134010E+02   -0.1469444435E+03    0.1158553747E+03
   4   2   -0.8325080612E+01   -0.5485995352E+03    0.2273734702E+03
   4   3   -0.7839692104E+01   -0.7857338094E+03    0.2379888362E+03
   4   4   -0.7839680251E+01   -0.7857046679E+03    0.2379884521E+03
   4   5    0.3026205924E+01   -0.8012864858E+03    0.2654157345E+03
   4   6    0.8881776594E+01   -0.6980304057E+03    0.3716199104E+03
   4   7    0.1057908214E+02   -0.1358868670E+04    0.5595720322E+03
   4   8    0.1057907500E+02   -0.1358893298E+04    0.5595733161E+03
   5   1   -0.1943831245E+02   -0.1809837161E+03    0.5039070710E+03
   5   2   -0.1468419523E+02   -0.4282744614E+03    0.3429274369E+03
   5   3   -0.1058698363E+02   -0.6994955397E+03    0.4118340362E+03
   5   4   -0.8659238252E+01   -0.8822180807E+03    0.3766237658E+03
   5   5    0.4670276584E+01   -0.5062545990E+03    0.7692080711E+03
   5   6    0.1018577693E+02   -0.8975621576E+03    0.8288100403E+03
   5   7    0.1181466429E+02   -0.1404949726E+04    0.1280244538E+04
   5   8    0.1217088643E+02   -0.6401242088E+03    0.1204037503E+04
   6   1   -0.2085456638E+02   -0.2269544459E+03    0.2402961206E+03
   6   2   -0.1262281687E+02   -0.5547217879E+03    0.2152831935E+03
   6   3   -0.1147002139E+02   -0.6350578904E+03    0.1619517043E+03
   6   4   -0.6708409751E+01   -0.9597450747E+03    0.3412386722E+03
   6   5    0.6645035864E+01   -0.9947451913E+03    0.1227531112E+04
   6   6    0.8993916314E+01   -0.1317738200E+04    0.8056274032E+03
   6   7    0.1113491869E+02   -0.1251531381E+04    0.9859582105E+03
   6   8    0.1262184625E+02   -0.3838725227E+03    0.4613613139E+03
   7   1   -0.1674639513E+02   -0.3257869680E+03    0.1036447507E+03
   7   2   -0.1674639668E+02   -0.3257881969E+03    0.1036447581E+03
   7   3   -0.1014476168E+02   -0.6909131829E+03    0.6632278185E+02
   7   4   -0.1014474959E+02   -0.6909123654E+03    0.6632084740E+02
   7   5    0.3220043064E+01   -0.2648472744E+03    0.1551550745E+03
   7   6    0.3220036644E+01   -0.2648520029E+03    0.1551572766E+03
   7   7    0.1574350246E+02   -0.1794543720E+04    0.2049172053E+03
   7   8    0.1574350825E+02   -0.1794531723E+04    0.2049172086E+03
   8   1   -0.1593021178E+02   -0.3206476715E+03    0.2263182918E+03
   8   2   -0.1593021187E+02   -0.3206477719E+03    0.2263182803E+03
   8   3   -0.1217910434E+02   -0.6355194183E+03    0.1317181293E+03
   8   4   -0.1217910546E+02   -0.6355205607E+03    0.1317181704E+03
   8   5    0.9321063884E+01   -0.7927136354E+03    0.4490732233E+03
   8   6    0.9321059044E+01   -0.7927275963E+03    0.4490743826E+03
   8   7    0.1117374224E+02   -0.8251419521E+03    0.1072720295E+04
   8   8    0.1117372844E+02   -0.8252558968E+03    0.1072758357E+04
