#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.1000000000E+03    0.1140736931E+02    0.7894081067E+01    0.1041344240E+02   -0.9939269102E+00    0.2520885024E+01    0.5237997133E-02
     0.1010000000E+03    0.1141220413E+02    0.7893271757E+01    0.1042075209E+02   -0.9914520417E+00    0.2528974405E+01    0.4788654344E-02
     0.1020000000E+03    0.1144926617E+02    0.7921363441E+01    0.1045627861E+02   -0.9929875577E+00    0.2536044674E+01    0.4789414580E-02
     0.1030000000E+03    0.1144926618E+02    0.7921363468E+01    0.1045633040E+02   -0.9929357812E+00    0.2536096533E+01    0.4789415067E-02
     0.1040000000E+03    0.1145876216E+02    0.8002578726E+01    0.1047286825E+02   -0.9858939137E+00    0.2471374416E+01    0.4662176052E-02
     0.1050000000E+03    0.1220029471E+02    0.8424922375E+01    0.1128576927E+02   -0.9145254460E+00    0.2865976531E+01    0.8999590037E-02
     0.1060000000E+03    0.1363491991E+02    0.1081636846E+02    0.1280714937E+02   -0.8277705420E+00    0.1991386880E+01    0.3103160911E-02
     0.1070000000E+03    0.1363491993E+02    0.1081636849E+02    0.1280716615E+02   -0.8277537846E+00    0.1991403635E+01    0.3103160236E-02
     0.1080000000E+03    0.1404523194E+02    0.1108864682E+02    0.1322733425E+02   -0.8178976879E+00    0.2139425308E+01    0.3882610855E-02
     0.1090000000E+03    0.1426394799E+02    0.1051251865E+02    0.1347007799E+02   -0.7938699933E+00    0.2959142454E+01    0.7381622281E-02
     0.1100000000E+03    0.1761475084E+02    0.2322504069E+02    0.1814494199E+02    0.5301911491E+00   -0.5080360969E+01   -0.3090143040E-02
     0.1110000000E+03    0.1779837523E+02    0.2345347887E+02    0.1833902833E+02    0.5406531087E+00   -0.5114708345E+01   -0.3071959928E-02
     0.1120000000E+03    0.1779837523E+02    0.2345347887E+02    0.1833912224E+02    0.5407470085E+00   -0.5114614406E+01   -0.3071964839E-02
     0.1130000000E+03    0.1808852222E+02    0.2377204024E+02    0.1863393184E+02    0.5454096201E+00   -0.5138365538E+01   -0.3117784954E-02
     0.1140000000E+03    0.1808852225E+02    0.2377204028E+02    0.1863385198E+02    0.5453297277E+00   -0.5138445478E+01   -0.3117794146E-02
     0.1150000000E+03    0.1851177424E+02    0.2417216233E+02    0.1907163921E+02    0.5598649645E+00   -0.5100776141E+01   -0.3177156774E-02
     0.1160000000E+03    0.1921606582E+02    0.2551261913E+02    0.2007605277E+02    0.8599869471E+00   -0.5437498210E+01   -0.3984660661E-02
     0.1170000000E+03    0.1927980686E+02    0.2569909483E+02    0.2024690903E+02    0.9671021638E+00   -0.5453285667E+01   -0.3918144491E-02
     0.1180000000E+03    0.1927980693E+02    0.2569909491E+02    0.2024686385E+02    0.9670569180E+00   -0.5453330987E+01   -0.3918136127E-02
     0.1190000000E+03    0.1979286526E+02    0.2597340853E+02    0.2050428811E+02    0.7114228448E+00   -0.5469546115E+01   -0.4078191396E-02
     0.1200000000E+03    0.1995253718E+02    0.2605870424E+02    0.2059076274E+02    0.6382255553E+00   -0.5468387407E+01   -0.3975587703E-02
