 iks ibn en[eV] re[meV] im[meV]
   1   1   -0.2576013416E+02    0.5672256802E+02   -0.7479125241E-01
   1   2   -0.3740870966E+01    0.1064955644E+04   -0.1717435142E+01
   1   3   -0.3740870946E+01    0.1064955609E+04   -0.1717435133E+01
   1   4   -0.3740869866E+01    0.1064955619E+04   -0.1717435276E+01
   1   5    0.4229035474E+01    0.1011022808E+04   -0.1962758822E+01
   1   6    0.4229035814E+01    0.1011022780E+04   -0.1962758733E+01
   1   7    0.4229035244E+01    0.1011022849E+04   -0.1962758918E+01
   1   8    0.1169919656E+02    0.8613938009E+02   -0.1343726920E+01
   2   1   -0.2393281782E+02    0.9314166926E+02   -0.1139225798E+00
   2   2   -0.1054360293E+02    0.5912222502E+03   -0.7446728808E+00
   2   3   -0.5532282176E+01    0.9773601307E+03   -0.1556852803E+01
   2   4   -0.5532283516E+01    0.9773600986E+03   -0.1556852541E+01
   2   5    0.6491706844E+01    0.1098591203E+04   -0.2248845959E+01
   2   6    0.6491706824E+01    0.1098591259E+04   -0.2248847539E+01
   2   7    0.6670253264E+01    0.6078937057E+03   -0.1710133372E+01
   2   8    0.1314475789E+02    0.8068783544E+03   -0.2117560724E+01
   3   1   -0.1968674861E+02    0.1305890441E+03   -0.3838212976E+00
   3   2   -0.1732378088E+02    0.3785373531E+03   -0.6426789095E+00
   3   3   -0.6665677576E+01    0.9492980642E+03   -0.1540614353E+01
   3   4   -0.6665675485E+01    0.9492981169E+03   -0.1540614616E+01
   3   5    0.7195385844E+01    0.9499199031E+03   -0.2070929552E+01
   3   6    0.7195386464E+01    0.9499198540E+03   -0.2070929473E+01
   3   7    0.7304862084E+01    0.1160392722E+03   -0.1156082675E+01
   3   8    0.1424365819E+02    0.1056248027E+04   -0.2527518983E+01
   4   1   -0.2306118012E+02    0.1068853222E+03   -0.1288255325E+00
   4   2   -0.8484223278E+01    0.6541831030E+03   -0.8986346771E+00
   4   3   -0.7994739744E+01    0.8459710252E+03   -0.1289116225E+01
   4   4   -0.7994739456E+01    0.8459711139E+03   -0.1289116630E+01
   4   5    0.2887401754E+01    0.5354833315E+03   -0.1294017334E+01
   4   6    0.8769459714E+01    0.1646997544E+03   -0.1061828976E+01
   4   7    0.1034729488E+02    0.1425212807E+04   -0.2700256847E+01
   4   8    0.1034729487E+02    0.1425212770E+04   -0.2700256578E+01
   5   1   -0.1949377032E+02    0.1882071481E+03   -0.2663829013E+00
   5   2   -0.1475545627E+02    0.4101745784E+03   -0.5992937872E+00
   5   3   -0.1072309193E+02    0.6126597729E+03   -0.9011308291E+00
   5   4   -0.8812796052E+01    0.8314941134E+03   -0.1326865072E+01
   5   5    0.4544615584E+01    0.3834482874E+03   -0.1172885288E+01
   5   6    0.1003846591E+02    0.6898553366E+03   -0.1316017365E+01
   5   7    0.1156548642E+02    0.1384175094E+04   -0.2846094396E+01
   5   8    0.1195695701E+02    0.1017939033E+04   -0.2233561585E+01
   6   1   -0.2107021794E+02    0.1545782697E+03   -0.1960956321E+00
   6   2   -0.1274834290E+02    0.4762438875E+03   -0.7915505618E+00
   6   3   -0.1159311299E+02    0.5901056293E+03   -0.9301016229E+00
   6   4   -0.6874712428E+01    0.9244977572E+03   -0.1474942653E+01
   6   5    0.6504216644E+01    0.5832151374E+03   -0.1492354590E+01
   6   6    0.8816711854E+01    0.1236252450E+04   -0.2551781495E+01
   6   7    0.1097154724E+02    0.1056441877E+04   -0.2446245091E+01
   6   8    0.1249110223E+02    0.7837543762E+03   -0.2198050967E+01
   7   1   -0.1696709866E+02    0.2789044717E+03   -0.3486460943E+00
   7   2   -0.1696709952E+02    0.2789043793E+03   -0.3486460464E+00
   7   3   -0.1029401588E+02    0.7768296757E+03   -0.1240092640E+01
   7   4   -0.1029401565E+02    0.7768297469E+03   -0.1240092767E+01
   7   5    0.3108285854E+01    0.1587658880E+03   -0.9110975193E+00
   7   6    0.3108285434E+01    0.1587657690E+03   -0.9110974129E+00
   7   7    0.1551051200E+02    0.1931515098E+04   -0.3584324679E+01
   7   8    0.1551051167E+02    0.1931514991E+04   -0.3584324437E+01
   8   1   -0.1599834983E+02    0.2822477577E+03   -0.5174948376E+00
   8   2   -0.1599835172E+02    0.2822476712E+03   -0.5174952601E+00
   8   3   -0.1229441871E+02    0.6077248412E+03   -0.9600843851E+00
   8   4   -0.1229441817E+02    0.6077246776E+03   -0.9600837300E+00
   8   5    0.9182503284E+01    0.7966511861E+03   -0.2055999536E+01
   8   6    0.9182502864E+01    0.7966510795E+03   -0.2055998154E+01
   8   7    0.1099066141E+02    0.8941888117E+03   -0.2273761084E+01
   8   8    0.1099066078E+02    0.8941891053E+03   -0.2273759396E+01
