#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]      LinEqp[eV]
     0.1000000000E+01   -0.1195636182E+01   -0.9730435937E+01   -0.3040505062E+01   -0.1844868880E+01    0.6715286779E+01    0.6814366464E+00   -0.3073710833E+01
     0.2000000000E+01    0.3180035055E+01   -0.3716595567E+01    0.1312138401E+01   -0.1867896655E+01    0.5028680725E+01    0.1170376430E+00    0.1328818716E+01
     0.3000000000E+01    0.5020425417E+01   -0.3886854985E+00    0.3379486379E+01   -0.1640939037E+01    0.3777032274E+01    0.4041095202E-01    0.3362371897E+01
     0.4000000000E+01    0.6955754455E+01    0.2297033203E+01    0.5389412807E+01   -0.1566341649E+01    0.3092398493E+01    0.8856083637E-02    0.5372183343E+01
     0.5000000000E+01    0.2230142857E+02    0.2930984004E+02    0.2304714089E+02    0.7457123192E+00   -0.6262830491E+01   -0.5548367772E-02    0.2305246520E+02
     0.6000000000E+01    0.2321535280E+02    0.3001275758E+02    0.2390297980E+02    0.6876269952E+00   -0.6109734206E+01   -0.5345903332E-02    0.2390128174E+02
     0.7000000000E+01    0.2508643867E+02    0.3325428920E+02    0.2587128652E+02    0.7848478521E+00   -0.7383848877E+01   -0.1404715170E-01    0.2585941217E+02
     0.8000000000E+01    0.2839960773E+02    0.3804854880E+02    0.2937530700E+02    0.9756992694E+00   -0.8671063065E+01   -0.1305707956E+00    0.2957029193E+02
