 ikr ibn iq imode EPCE[meV]
   1 101   1   6    0.8437973222E+01
   1 101   1   7    0.1347875267E+02
   1 101   1   8    0.2282317178E+02
   1 101   1   9    0.1296882671E+02
   1 101   1  10    0.8083459722E+01
   1 101   1  11    0.1437946288E+02
   1 101   1  12    0.7053095664E+01
   1 101   1  13    0.9298500670E+01
   1 101   1  14    0.1990149065E+02
   1 101   1  15    0.9829121895E+01
   1 101   1  16    0.9509812487E+01
   1 101   1  17    0.2020732556E+02
   1 101   1  18    0.1762106186E+02
   1 101   1  19    0.1327858385E+02
   1 101   1  20    0.1371197824E+02
   1 101   1  21    0.2503848609E+02
   1 101   1  22    0.7814398364E+01
   1 101   1  23    0.1462433654E+02
   1 101   1  24    0.9206129700E+01
   1 101   1  25    0.1163629129E+02
   1 101   1  26    0.5274518169E+01
   1 101   1  27    0.9466121991E+01
   1 101   1  28    0.7501600592E+01
   1 101   1  29    0.1228286573E+02
   1 101   1  30    0.7232926251E+01
   1 101   1  31    0.9991789296E+01
   1 101   1  32    0.6080441684E+01
   1 101   1  33    0.1311980428E+02
   1 101   1  34    0.8773998592E+01
   1 101   1  35    0.1064883127E+02
   1 101   1  36    0.6364495347E+01
   1 101   1  37    0.1012185891E+02
   1 101   1  38    0.8633675487E+01
   1 101   1  39    0.1353729777E+02
   1 101   1  40    0.6229707054E+01
   1 101   1  41    0.7647107042E+01
   1 101   1  42    0.7714768297E+01
   1 101   1  43    0.9792352157E+01
   1 101   1  44    0.7231420747E+01
   1 101   1  45    0.5745126772E+01
   1 101   1  46    0.1077032793E+02
   1 101   1  47    0.3048707110E+01
   1 101   1  48    0.5871898381E+01
   1 101   1  49    0.9172443027E+01
   1 101   1  50    0.8027314200E+01
   1 101   1  51    0.9442347878E+01
   1 101   1  52    0.7176737163E+01
   1 101   1  53    0.1036400035E+02
   1 101   1  54    0.6373000219E+01
   1 101   1  55    0.6970640625E+01
   1 101   1  56    0.4416075279E+01
   1 101   1  57    0.5526862697E+01
   1 101   1  58    0.9588823733E+01
   1 101   1  59    0.5307197749E+01
   1 101   1  60    0.8575640222E+01
   1 101   1  61    0.1128371517E+02
   1 101   1  62    0.6104127393E+01
   1 101   1  63    0.7205924315E+01
   1 101   1  64    0.4178103931E+01
   1 101   1  65    0.3620367034E+01
   1 101   1  66    0.4717669451E+01
   1 101   1  67    0.6432061693E+01
   1 101   1  68    0.5669999919E+01
