 ikr ibn iq imode EPCE[meV]
   1 100   1 160   -0.8092042010E+01
   1 100   1 161   -0.5310101679E+01
   1 100   1 162   -0.1099619425E+02
   1 101   1   1    0.0000000000E+00
   1 101   1   2    0.0000000000E+00
   1 101   1   3    0.0000000000E+00
   1 101   1   4   -0.1072850480E+02
   1 101   1   5   -0.4827106072E+02
   1 101   1   6   -0.8700780313E+01
   1 101   1   7   -0.1344736461E+02
   1 101   1   8   -0.2196754584E+02
   1 101   1   9   -0.1224818817E+02
   1 101   1  10   -0.7594774020E+01
   1 101   1  11   -0.1385479026E+02
   1 101   1  12   -0.6654618380E+01
   1 101   1  13   -0.8609786553E+01
   1 101   1  14   -0.1949100781E+02
   1 101   1  15   -0.9471784096E+01
   1 101   1  16   -0.9201770447E+01
   1 101   1  17   -0.1960063900E+02
   1 101   1  18   -0.1696680698E+02
   1 101   1  19   -0.1263788885E+02
   1 101   1  20   -0.1279679069E+02
   1 101   1  21   -0.2429403996E+02
   1 101   1  22   -0.7998960766E+01
   1 101   1  23   -0.1402473714E+02
   1 101   1  24   -0.8862119039E+01
   1 101   1  25   -0.1134196071E+02
   1 101   1  26   -0.4814232038E+01
   1 101   1  27   -0.9123056506E+01
   1 101   1  28   -0.6691446725E+01
   1 101   1  29   -0.1188488438E+02
   1 101   1  30   -0.6795901712E+01
   1 101   1  31   -0.9513001053E+01
   1 101   1  32   -0.5634680333E+01
   1 101   1  33   -0.1270267674E+02
   1 101   1  34   -0.8179105488E+01
   1 101   1  35   -0.1009746909E+02
   1 101   1  36   -0.5601246344E+01
   1 101   1  37   -0.9541537989E+01
   1 101   1  38   -0.7833057693E+01
   1 101   1  39   -0.1292155224E+02
   1 101   1  40   -0.5628054466E+01
   1 101   1  41   -0.7077186857E+01
   1 101   1  42   -0.6996866611E+01
   1 101   1  43   -0.9029393047E+01
   1 101   1  44   -0.6589465212E+01
   1 101   1  45   -0.5453204682E+01
   1 101   1  46   -0.1081306687E+02
   1 101   1  47   -0.7395124667E+01
   1 101   1  48   -0.5851252261E+01
   1 101   1  49   -0.8965968962E+01
   1 101   1  50   -0.7797625134E+01
   1 101   1  51   -0.9199882432E+01
   1 101   1  52   -0.7534086401E+01
   1 101   1  53   -0.1000977168E+02
   1 101   1  54   -0.5137390450E+01
   1 101   1  55   -0.8763556734E+01
   1 101   1  56   -0.4355681680E+01
   1 101   1  57   -0.5503889992E+01
   1 101   1  58   -0.1003857624E+02
   1 101   1  59   -0.4986132898E+01
   1 101   1  60   -0.1130058421E+02
   1 101   1  61   -0.1246281863E+02
   1 101   1  62   -0.5239843749E+01
   1 101   1  63   -0.6840563768E+01
   1 101   1  64   -0.3630482457E+01
   1 101   1  65   -0.4386501451E+01
   1 101   1  66   -0.4863971154E+01
   1 101   1  67   -0.6865955682E+01
   1 101   1  68   -0.5587567882E+01
   1 101   1  69   -0.7889491593E+01
   1 101   1  70   -0.9422374710E+01
   1 101   1  71   -0.6937073640E+01
   1 101   1  72   -0.1321242923E+02
   1 101   1  73   -0.3356762893E+01
   1 101   1  74   -0.3165224078E+01
   1 101   1  75   -0.8723757616E+01
   1 101   1  76   -0.8561529226E+01
   1 101   1  77   -0.5322278137E+01
   1 101   1  78   -0.5393520501E+01
   1 101   1  79   -0.5701587723E+01
   1 101   1  80   -0.7569286444E+01
   1 101   1  81   -0.1186006010E+02
   1 101   1  82   -0.1143043561E+02
   1 101   1  83   -0.6382766514E+01
   1 101   1  84   -0.6098420472E+01
   1 101   1  85   -0.6813846516E+01
   1 101   1  86   -0.3602689168E+01
   1 101   1  87   -0.1092963733E+02
   1 101   1  88   -0.3544013192E+01
   1 101   1  89   -0.3588170036E+01
   1 101   1  90   -0.6929308163E+01
   1 101   1  91   -0.5003913332E+01
   1 101   1  92   -0.2676460741E+01
   1 101   1  93   -0.5165388810E+01
   1 101   1  94   -0.3635615225E+01
   1 101   1  95   -0.6011433519E+01
   1 101   1  96   -0.4537280027E+01
   1 101   1  97   -0.6744351743E+01
   1 101   1  98   -0.4989632890E+01
   1 101   1  99   -0.4634957496E+01
   1 101   1 100   -0.2634803143E+01
   1 101   1 101   -0.4830543667E+01
   1 101   1 102   -0.6943024506E+01
   1 101   1 103   -0.4736480123E+01
   1 101   1 104   -0.4248083050E+01
   1 101   1 105   -0.3111115828E+01
   1 101   1 106   -0.6176467027E+01
   1 101   1 107   -0.4350134795E+01
   1 101   1 108   -0.5430964272E+01
   1 101   1 109   -0.8992372480E+01
   1 101   1 110   -0.7276308113E+01
   1 101   1 111   -0.5074646311E+01
   1 101   1 112   -0.8581130572E+01
   1 101   1 113   -0.9941836025E+01
   1 101   1 114   -0.9435141739E+01
   1 101   1 115   -0.2736466846E+01
   1 101   1 116   -0.1421089268E+02
   1 101   1 117   -0.1153619234E+02
   1 101   1 118   -0.4156301969E+01
   1 101   1 119   -0.4825441794E+01
   1 101   1 120   -0.1391259875E+01
   1 101   1 121   -0.1444938499E+01
   1 101   1 122   -0.1902970143E+01
   1 101   1 123   -0.1113450156E+02
   1 101   1 124   -0.6858388687E+01
   1 101   1 125   -0.5953308388E+01
   1 101   1 126   -0.6744489434E+01
   1 101   1 127   -0.6752921413E+01
   1 101   1 128   -0.5656119859E+01
   1 101   1 129   -0.1018225979E+02
   1 101   1 130   -0.5949202092E+01
   1 101   1 131   -0.7003061951E+01
   1 101   1 132   -0.2486323010E+01
   1 101   1 133   -0.6888331463E+01
   1 101   1 134   -0.4530616529E+01
   1 101   1 135   -0.6944364092E+01
   1 101   1 136   -0.8320090493E+01
   1 101   1 137   -0.9773392918E+01
   1 101   1 138   -0.4738868259E+01
   1 101   1 139   -0.6206500757E+01
   1 101   1 140   -0.4609733000E+01
   1 101   1 141   -0.7915390495E+01
   1 101   1 142   -0.5015260081E+01
   1 101   1 143   -0.7550433705E+01
   1 101   1 144   -0.2642429161E+01
   1 101   1 145   -0.8014991215E+01
   1 101   1 146   -0.1213092620E+02
   1 101   1 147   -0.1486491338E+02
   1 101   1 148   -0.5881571456E+01
   1 101   1 149   -0.2580941229E+01
   1 101   1 150   -0.3786787692E+01
   1 101   1 151   -0.3665130940E+01
   1 101   1 152   -0.4542803488E+01
   1 101   1 153   -0.7893987882E+01
   1 101   1 154   -0.6400737346E+01
   1 101   1 155   -0.1295802707E+02
   1 101   1 156   -0.1103808142E+02
   1 101   1 157   -0.1227396864E+02
   1 101   1 158   -0.1409797488E+02
   1 101   1 159   -0.1734879285E+02
   1 101   1 160   -0.2476397517E+01
   1 101   1 161   -0.1833466510E+01
   1 101   1 162   -0.1036431496E+02
   1 102   1   1    0.0000000000E+00
   1 102   1   2    0.0000000000E+00
   1 102   1   3    0.0000000000E+00
   1 102   1   4   -0.4827105950E+02
   1 102   1   5   -0.1072850344E+02
   1 102   1   6   -0.1339204571E+02
   1 102   1   7   -0.8733732208E+01
   1 102   1   8   -0.2227835951E+02
   1 102   1   9   -0.7594773966E+01
   1 102   1  10   -0.1224818763E+02
   1 102   1  11   -0.1385478763E+02
   1 102   1  12   -0.6654632915E+01
   1 102   1  13   -0.1949099747E+02
   1 102   1  14   -0.8609778029E+01
   1 102   1  15   -0.9016259038E+01
   1 102   1  16   -0.9824235587E+01
   1 102   1  17   -0.1250300801E+02
   1 102   1  18   -0.2397445916E+02
   1 102   1  19   -0.1258717567E+02
   1 102   1  20   -0.2429404089E+02
   1 102   1  21   -0.1279679090E+02
   1 102   1  22   -0.7998961232E+01
   1 102   1  23   -0.1402473783E+02
   1 102   1  24   -0.1133928173E+02
   1 102   1  25   -0.8860989069E+01
   1 102   1  26   -0.9123056882E+01
   1 102   1  27   -0.4814232108E+01
   1 102   1  28   -0.6489703842E+01
   1 102   1  29   -0.1190142374E+02
   1 102   1  30   -0.9527808183E+01
   1 102   1  31   -0.6809376416E+01
   1 102   1  32   -0.1270267637E+02
   1 102   1  33   -0.5634679873E+01
   1 102   1  34   -0.1009571413E+02
   1 102   1  35   -0.8177489611E+01
   1 102   1  36   -0.5251397253E+01
   1 102   1  37   -0.9585141925E+01
   1 102   1  38   -0.7833060501E+01
   1 102   1  39   -0.1292155280E+02
   1 102   1  40   -0.7077186883E+01
   1 102   1  41   -0.5628053605E+01
   1 102   1  42   -0.9027586219E+01
   1 102   1  43   -0.7017791837E+01
   1 102   1  44   -0.6589463838E+01
   1 102   1  45   -0.1081306357E+02
   1 102   1  46   -0.5453203714E+01
   1 102   1  47   -0.6336678769E+01
   1 102   1  48   -0.5851253379E+01
   1 102   1  49   -0.8962418932E+01
   1 102   1  50   -0.9198365957E+01
   1 102   1  51   -0.7795861665E+01
   1 102   1  52   -0.7534084581E+01
   1 102   1  53   -0.5137391280E+01
   1 102   1  54   -0.1000976868E+02
   1 102   1  55   -0.4210786362E+01
   1 102   1  56   -0.5488241379E+01
   1 102   1  57   -0.4347476513E+01
   1 102   1  58   -0.1003857545E+02
   1 102   1  59   -0.4911458784E+01
   1 102   1  60   -0.1246786653E+02
   1 102   1  61   -0.1128592333E+02
   1 102   1  62   -0.6840563984E+01
   1 102   1  63   -0.5239843441E+01
   1 102   1  64   -0.3630481633E+01
   1 102   1  65   -0.4863971729E+01
   1 102   1  66   -0.4386502218E+01
   1 102   1  67   -0.6798136137E+01
   1 102   1  68   -0.7898525483E+01
   1 102   1  69   -0.5603300344E+01
   1 102   1  70   -0.9422374359E+01
   1 102   1  71   -0.1321242752E+02
   1 102   1  72   -0.6937072407E+01
   1 102   1  73   -0.3166704708E+01
   1 102   1  74   -0.3358137756E+01
   1 102   1  75   -0.8809486606E+01
   1 102   1  76   -0.8194975204E+01
   1 102   1  77   -0.5393519696E+01
   1 102   1  78   -0.5322277242E+01
   1 102   1  79   -0.5701587723E+01
   1 102   1  80   -0.1186245167E+02
   1 102   1  81   -0.7566842120E+01
   1 102   1  82   -0.1143043624E+02
   1 102   1  83   -0.6098421257E+01
   1 102   1  84   -0.6382766991E+01
   1 102   1  85   -0.6542136200E+01
   1 102   1  86   -0.1092963656E+02
   1 102   1  87   -0.3602688843E+01
   1 102   1  88   -0.3589604256E+01
   1 102   1  89   -0.3538888074E+01
   1 102   1  90   -0.5007671992E+01
   1 102   1  91   -0.6939253701E+01
   1 102   1  92   -0.5165389264E+01
   1 102   1  93   -0.2676460655E+01
   1 102   1  94   -0.3635614265E+01
   1 102   1  95   -0.5860027948E+01
   1 102   1  96   -0.4537279910E+01
   1 102   1  97   -0.4990689704E+01
   1 102   1  98   -0.6743901844E+01
   1 102   1  99   -0.5448849175E+01
   1 102   1 100   -0.1371884262E+01
   1 102   1 101   -0.6943024580E+01
   1 102   1 102   -0.4830539817E+01
   1 102   1 103   -0.4736480162E+01
   1 102   1 104   -0.6674645023E+01
   1 102   1 105   -0.6176465275E+01
   1 102   1 106   -0.3111115351E+01
   1 102   1 107   -0.5434696475E+01
   1 102   1 108   -0.4347767180E+01
