 imode freq[a.u.] freq[Thz] freq[CMM1]
   1 -0.194267626798842469E-09 -0.639109790274832217E-06 -0.213184078925305138E-04
   2 -0.164636126995679823E-09 -0.541626838859888344E-06 -0.180667266439333951E-04
   3 -0.940579676419397235E-10 -0.309435848699394493E-06 -0.103216688893285792E-04
   4  0.148921453292083731E-01  0.489928045908954104E+02  0.163422405345818970E+04
   5  0.148921453292083748E-01  0.489928045908954175E+02  0.163422405345818993E+04
   6  0.148921453292083766E-01  0.489928045908954246E+02  0.163422405345819016E+04
