 ikr ibn iq imode EPCE[meV]
   1 100   1   1    0.0000000000E+00
   1 100   1   2    0.0000000000E+00
   1 100   1   3    0.0000000000E+00
   1 100   1   4   -0.4000202363E+01
   1 100   1   5   -0.1155266952E+02
   1 100   1   6   -0.1843791570E+02
   1 100   1   7   -0.1110400489E+02
   1 100   1   8   -0.8891095612E+01
   1 100   1   9   -0.1231540941E+02
   1 100   1  10   -0.9191435998E+01
   1 100   1  11   -0.8123756147E+01
   1 100   1  12   -0.1168689341E+02
   1 100   1  13   -0.1226885152E+02
   1 100   1  14   -0.4009835559E+02
   1 100   1  15   -0.1548852972E+02
   1 100   1  16   -0.1716312096E+02
   1 100   1  17   -0.1321546310E+02
   1 100   1  18   -0.2207537320E+02
   1 100   1  19   -0.1280691078E+02
   1 100   1  20   -0.6554327885E+01
   1 100   1  21   -0.1122808765E+02
   1 100   1  22   -0.1917022282E+02
   1 100   1  23   -0.9415998186E+01
   1 100   1  24   -0.9239785522E+01
   1 100   1  25   -0.9362527605E+01
   1 100   1  26   -0.1185102279E+02
   1 100   1  27   -0.6178337790E+01
   1 100   1  28   -0.5084473450E+01
   1 100   1  29   -0.2046141251E+02
   1 100   1  30   -0.1414191893E+02
   1 100   1  31   -0.1192929934E+02
   1 100   1  32   -0.9588334979E+01
   1 100   1  33   -0.2289736434E+02
   1 100   1  34   -0.1300314391E+02
   1 100   1  35   -0.6821137186E+01
   1 100   1  36   -0.5411595952E+01
   1 100   1  37   -0.1026942603E+02
   1 100   1  38   -0.5867914976E+01
   1 100   1  39   -0.6988438495E+01
   1 100   1  40   -0.1017083110E+02
   1 100   1  41   -0.6423032029E+01
   1 100   1  42   -0.9930060609E+01
   1 100   1  43   -0.1016145689E+02
   1 100   1  44   -0.2430186414E+01
   1 100   1  45   -0.7991613259E+01
   1 100   1  46   -0.8772089478E+01
   1 100   1  47   -0.4092249818E+01
   1 100   1  48   -0.1042409842E+02
   1 100   1  49   -0.1081072667E+02
   1 100   1  50   -0.1007749616E+02
   1 100   1  51   -0.8986533502E+01
   1 100   1  52   -0.6609979457E+01
   1 100   1  53   -0.8328127875E+01
   1 100   1  54   -0.6528796683E+01
   1 100   1  55   -0.4110548802E+01
   1 100   1  56   -0.6933211405E+01
   1 100   1  57   -0.6038387326E+01
   1 100   1  58   -0.7746548727E+01
   1 100   1  59   -0.5609662817E+01
   1 100   1  60   -0.2496868823E+01
   1 100   1  61   -0.3767595130E+01
   1 100   1  62   -0.8769307839E+01
   1 100   1  63   -0.6068192207E+01
   1 100   1  64   -0.7828275389E+01
   1 100   1  65   -0.4503585179E+01
   1 100   1  66   -0.5419502778E+01
   1 100   1  67   -0.7414464265E+01
   1 100   1  68   -0.5504751434E+01
   1 100   1  69   -0.8910992056E+01
   1 100   1  70   -0.6901924415E+01
   1 100   1  71   -0.5045799359E+01
   1 100   1  72   -0.9670931947E+01
   1 100   1  73   -0.7655418745E+01
   1 100   1  74   -0.5208659196E+01
   1 100   1  75   -0.1486091329E+02
   1 100   1  76   -0.8404847544E+01
   1 100   1  77   -0.1741979905E+02
   1 100   1  78   -0.8923354019E+01
   1 100   1  79   -0.6154788099E+01
   1 100   1  80   -0.5849869681E+01
   1 100   1  81   -0.6575800504E+01
