 iks ibn en[eV] re[meV] im[meV]
   1   1   -0.2509412159E+02    0.9025558021E+02   -0.1226689349E+00
   1   2   -0.3482256964E+01    0.1672020541E+04   -0.2750783686E+01
   1   3   -0.3482258154E+01    0.1672020708E+04   -0.2750778143E+01
   1   4   -0.3482256274E+01    0.1672021745E+04   -0.2750773879E+01
   1   5    0.4047015376E+01    0.1586182025E+04   -0.3092079305E+01
   1   6    0.4047015326E+01    0.1586184071E+04   -0.3092070225E+01
   1   7    0.4047014346E+01    0.1586190124E+04   -0.3092289442E+01
   1   8    0.1104082186E+02    0.1431687773E+03   -0.2124244085E+01
   2   1   -0.2330491223E+02    0.1463919699E+03   -0.1845444787E+00
   2   2   -0.1031729540E+02    0.9244163742E+03   -0.1170914438E+01
   2   3   -0.5259068100E+01    0.1534585071E+04   -0.2484753793E+01
   2   4   -0.5259069628E+01    0.1534583987E+04   -0.2484748215E+01
   2   5    0.6304856886E+01    0.1727090098E+04   -0.3589821680E+01
   2   6    0.6304857586E+01    0.1727092159E+04   -0.3589889096E+01
   2   7    0.6277363936E+01    0.9322975360E+03   -0.2797997551E+01
   2   8    0.1266365590E+02    0.1309512132E+04   -0.3336782027E+01
   3   1   -0.1971141974E+02    0.2030219092E+03   -0.5207630794E+00
   3   2   -0.1692596209E+02    0.5937397176E+03   -0.9342050908E+00
   3   3   -0.6398271630E+01    0.1489053296E+04   -0.2448228909E+01
   3   4   -0.6398270613E+01    0.1489053508E+04   -0.2448230705E+01
   3   5    0.7016666946E+01    0.1505580406E+04   -0.3264369715E+01
   3   6    0.7016668906E+01    0.1505580281E+04   -0.3264230594E+01
   3   7    0.6855958546E+01    0.1980223891E+03   -0.1835043165E+01
   3   8    0.1398218263E+02    0.1719543854E+04   -0.3975452732E+01
   4   1   -0.2288793792E+02    0.1668019053E+03   -0.2036357123E+00
   4   2   -0.8361747828E+01    0.1013232812E+04   -0.1396957820E+01
   4   3   -0.7686559543E+01    0.1329247346E+04   -0.2054281867E+01
   4   4   -0.7686559756E+01    0.1329246111E+04   -0.2054300513E+01
   4   5    0.2693268626E+01    0.8481431771E+03   -0.2058299878E+01
   4   6    0.8515878736E+01    0.2965493816E+03   -0.1743604263E+01
   4   7    0.1008382527E+02    0.2235197862E+04   -0.4244133303E+01
   4   8    0.1008382567E+02    0.2235200069E+04   -0.4223859118E+01
   5   1   -0.1910499271E+02    0.2918598144E+03   -0.4289119100E+00
   5   2   -0.1449942040E+02    0.6385564659E+03   -0.9526325182E+00
   5   3   -0.1047530965E+02    0.9619198626E+03   -0.1424226592E+01
   5   4   -0.8507906894E+01    0.1305728614E+04   -0.2105437269E+01
   5   5    0.4362594406E+01    0.6152806402E+03   -0.1867408794E+01
   5   6    0.9795436526E+01    0.1108610799E+04   -0.2097505299E+01
   5   7    0.1132521335E+02    0.2184180190E+04   -0.5295073007E+01
   5   8    0.1150446505E+02    0.1605483869E+04   -0.4302782781E+01
   6   1   -0.2072728595E+02    0.2401817788E+03   -0.3117297247E+00
   6   2   -0.1250727814E+02    0.7400996016E+03   -0.1242843285E+01
   6   3   -0.1130481377E+02    0.9290224740E+03   -0.1476235788E+01
   6   4   -0.6606574267E+01    0.1450829225E+04   -0.2342481412E+01
   6   5    0.6271269136E+01    0.9214166581E+03   -0.2361791013E+01
   6   6    0.8619962426E+01    0.1945175840E+04   -0.4007199859E+01
   6   7    0.1064099086E+02    0.1674696161E+04   -0.3837176985E+01
   6   8    0.1207924267E+02    0.1260780625E+04   -0.3528191688E+01
   7   1   -0.1666072215E+02    0.4331749207E+03   -0.5488632334E+00
   7   2   -0.1666072187E+02    0.4331745687E+03   -0.5488630641E+00
   7   3   -0.9978226915E+01    0.1219565731E+04   -0.1968895750E+01
   7   4   -0.9978227253E+01    0.1219565311E+04   -0.1968896649E+01
   7   5    0.2964937826E+01    0.2679777750E+03   -0.1458789536E+01
   7   6    0.2964938336E+01    0.2679787487E+03   -0.1458785625E+01
   7   7    0.1512361996E+02    0.3020207145E+04   -0.5616532737E+01
   7   8    0.1512361788E+02    0.3020205440E+04   -0.5616533218E+01
   8   1   -0.1574524644E+02    0.4371820587E+03   -0.8081849216E+00
   8   2   -0.1574524668E+02    0.4371819891E+03   -0.8081850057E+00
   8   3   -0.1195554788E+02    0.9569103320E+03   -0.1519506240E+01
   8   4   -0.1195554662E+02    0.9569098578E+03   -0.1519503772E+01
   8   5    0.9013170306E+01    0.1267217194E+04   -0.3171103093E+01
   8   6    0.9013171066E+01    0.1267222911E+04   -0.3171093101E+01
   8   7    0.1063979066E+02    0.1423025697E+04   -0.3500112583E+01
   8   8    0.1063979274E+02    0.1423025801E+04   -0.3500117775E+01
