#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]
     0.4800000000E+03    0.1191873099E+02    0.8725145935E+01    0.1110779304E+02   -0.8109379577E+00    0.2383514466E+01    0.1684789181E-01
     0.4810000000E+03    0.1218034884E+02    0.9290715692E+01    0.1145736470E+02   -0.7229841440E+00    0.2163957466E+01    0.5639968197E-02
     0.4820000000E+03    0.1242034131E+02    0.9582800870E+01    0.1171215512E+02   -0.7081861824E+00    0.2128821555E+01    0.4306372273E-02
     0.4830000000E+03    0.1242034132E+02    0.9582800903E+01    0.1171216314E+02   -0.7081781810E+00    0.2128829573E+01    0.4306247820E-02
     0.4840000000E+03    0.1243236073E+02    0.9588736018E+01    0.1172676116E+02   -0.7055995703E+00    0.2138108848E+01    0.7352650239E-02
     0.4850000000E+03    0.1243515802E+02    0.9593042346E+01    0.1172489276E+02   -0.7102652607E+00    0.2131884784E+01    0.4020703823E-02
     0.4860000000E+03    0.1243697607E+02    0.9601153938E+01    0.1173250501E+02   -0.7044710558E+00    0.2131388787E+01    0.3774663745E-02
     0.4870000000E+03    0.1243697609E+02    0.9601153963E+01    0.1173249875E+02   -0.7044773389E+00    0.2131382493E+01    0.3774658755E-02
     0.4880000000E+03    0.1246304543E+02    0.9674954599E+01    0.1177104418E+02   -0.6920012476E+00    0.2095725580E+01    0.3452238325E-02
     0.4890000000E+03    0.1246304544E+02    0.9674954613E+01    0.1177102922E+02   -0.6920162272E+00    0.2034791698E+01    0.3452146080E-02
     0.4900000000E+03    0.1247379224E+02    0.9710150069E+01    0.1178603816E+02   -0.6877540785E+00    0.2075898591E+01    0.3134728967E-02
     0.4910000000E+03    0.1248502268E+02    0.9678179753E+01    0.1178561408E+02   -0.6994085981E+00    0.2108161610E+01    0.3285119655E-02
     0.4920000000E+03    0.1248502268E+02    0.9678179749E+01    0.1178561036E+02   -0.6994123236E+00    0.2108157836E+01    0.3285146986E-02
     0.4930000000E+03    0.1255025478E+02    0.9738135331E+01    0.1185728128E+02   -0.6929735003E+00    0.2119159946E+01    0.3249655584E-02
     0.4940000000E+03    0.1255025479E+02    0.9738135340E+01    0.1185732803E+02   -0.6929267641E+00    0.2119191014E+01    0.3248176912E-02
     0.4950000000E+03    0.1270665939E+02    0.9834177218E+01    0.1202609615E+02   -0.6805632373E+00    0.2193004716E+01    0.5238834167E-02
     0.4960000000E+03    0.1270665940E+02    0.9834177240E+01    0.1202617984E+02   -0.6804795643E+00    0.2193088433E+01    0.5238971202E-02
     0.4970000000E+03    0.1362027716E+02    0.1151133957E+02    0.1305921912E+02   -0.5610580409E+00    0.1547885293E+01    0.2366244431E-02
     0.4980000000E+03    0.1385047422E+02    0.1144957951E+02    0.1321272917E+02   -0.6377450465E+00    0.1763155483E+01    0.2207703624E-02
     0.4990000000E+03    0.1385047424E+02    0.1144957955E+02    0.1321276961E+02   -0.6377046309E+00    0.1763195882E+01    0.2207715092E-02
     0.5000000000E+03    0.1483863250E+02    0.1830283936E+02    0.1519753650E+02    0.3589040022E+00   -0.3105542017E+01   -0.1098276920E-01
     0.5010000000E+03    0.1805782155E+02    0.2348564459E+02    0.1907070127E+02    0.1012879713E+01   -0.4414954686E+01   -0.2708717645E-02
     0.5020000000E+03    0.1807135156E+02    0.2350382028E+02    0.1909038630E+02    0.1019034737E+01   -0.4413465548E+01   -0.2559663150E-02
     0.5030000000E+03    0.1807135157E+02    0.2350382029E+02    0.1909037020E+02    0.1019018632E+01   -0.4413481649E+01   -0.2559404938E-02
     0.5040000000E+03    0.1808153939E+02    0.2351779546E+02    0.1910218617E+02    0.1020646781E+01   -0.4415640243E+01   -0.2545970648E-02
     0.5050000000E+03    0.1808153939E+02    0.2351779546E+02    0.1910222036E+02    0.1020680968E+01   -0.4415606054E+01   -0.2546031673E-02
     0.5060000000E+03    0.1811004553E+02    0.2355515388E+02    0.1913221366E+02    0.1022168136E+01   -0.4422957650E+01   -0.2631657606E-02
     0.5070000000E+03    0.1862848048E+02    0.2432665860E+02    0.1982895408E+02    0.1200473596E+01   -0.4497684260E+01   -0.3463176983E-02
     0.5080000000E+03    0.1863286348E+02    0.2432648479E+02    0.1984137028E+02    0.1208506801E+01   -0.4485152246E+01   -0.2990286681E-02
     0.5090000000E+03    0.1863286348E+02    0.2432648479E+02    0.1984133968E+02    0.1208476205E+01   -0.4485182843E+01   -0.2991534138E-02
     0.5100000000E+03    0.1868377070E+02    0.2439885272E+02    0.1989122427E+02    0.1207453566E+01   -0.4507683300E+01   -0.3003521708E-02
     0.5110000000E+03    0.1868518970E+02    0.2438967478E+02    0.1989645828E+02    0.1211268579E+01   -0.4493283151E+01   -0.3049241732E-02
     0.5120000000E+03    0.1868518971E+02    0.2438967479E+02    0.1989647886E+02    0.1211289152E+01   -0.4493262575E+01   -0.3049198464E-02
     0.5130000000E+03    0.1919895481E+02    0.2487064910E+02    0.2024032309E+02    0.1041368274E+01   -0.4630332757E+01   -0.1045629636E-01
     0.5140000000E+03    0.1922216275E+02    0.2489683440E+02    0.2026810706E+02    0.1045944311E+01   -0.4628775724E+01   -0.5784879860E-02
     0.5150000000E+03    0.1922216275E+02    0.2489683441E+02    0.2026810830E+02    0.1045945553E+01   -0.4628774499E+01   -0.5786810025E-02
     0.5160000000E+03    0.1925910663E+02    0.2493594206E+02    0.2030359557E+02    0.1044488942E+01   -0.4632414371E+01   -0.9832079015E-02
     0.5170000000E+03    0.1926142702E+02    0.2493982546E+02    0.2030545133E+02    0.1044024305E+01   -0.4634457558E+01   -0.1108209500E-01
     0.5180000000E+03    0.1926142705E+02    0.2493982548E+02    0.2030550026E+02    0.1044073214E+01   -0.4634408554E+01   -0.1108076301E-01
     0.5190000000E+03    0.1928219295E+02    0.2495932473E+02    0.2032925344E+02    0.1047060485E+01   -0.4630082075E+01   -0.6088067660E-02
     0.5200000000E+03    0.1928219297E+02    0.2495932475E+02    0.2032931144E+02    0.1047118468E+01   -0.4630024090E+01   -0.6084793987E-02
