#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.4800000000E+03    0.1191873099E+02   -0.1991566375E+02   -0.1672207869E+02    0.0000000000E+00    0.8725145935E+01
     0.4810000000E+03    0.1218034884E+02   -0.1951600121E+02   -0.1662636806E+02    0.0000000000E+00    0.9290715692E+01
     0.4820000000E+03    0.1242034131E+02   -0.1964499519E+02   -0.1680745476E+02    0.0000000000E+00    0.9582800870E+01
     0.4830000000E+03    0.1242034132E+02   -0.1964499517E+02   -0.1680745475E+02    0.0000000000E+00    0.9582800903E+01
     0.4840000000E+03    0.1243236073E+02   -0.1965600141E+02   -0.1681237671E+02    0.0000000000E+00    0.9588736018E+01
     0.4850000000E+03    0.1243515802E+02   -0.1964767695E+02   -0.1680556127E+02    0.0000000000E+00    0.9593042346E+01
     0.4860000000E+03    0.1243697607E+02   -0.1964172122E+02   -0.1680589909E+02    0.0000000000E+00    0.9601153938E+01
     0.4870000000E+03    0.1243697609E+02   -0.1964172120E+02   -0.1680589908E+02    0.0000000000E+00    0.9601153963E+01
     0.4880000000E+03    0.1246304543E+02   -0.1958936112E+02   -0.1680127029E+02    0.0000000000E+00    0.9674954599E+01
     0.4890000000E+03    0.1246304544E+02   -0.1958936113E+02   -0.1680127029E+02    0.0000000000E+00    0.9674954613E+01
     0.4900000000E+03    0.1247379224E+02   -0.1955906118E+02   -0.1679541901E+02    0.0000000000E+00    0.9710150069E+01
     0.4910000000E+03    0.1248502268E+02   -0.1960166431E+02   -0.1679482139E+02    0.0000000000E+00    0.9678179753E+01
     0.4920000000E+03    0.1248502268E+02   -0.1960166432E+02   -0.1679482139E+02    0.0000000000E+00    0.9678179749E+01
     0.4930000000E+03    0.1255025478E+02   -0.1955882776E+02   -0.1674670831E+02    0.0000000000E+00    0.9738135331E+01
     0.4940000000E+03    0.1255025479E+02   -0.1955882775E+02   -0.1674670830E+02    0.0000000000E+00    0.9738135340E+01
     0.4950000000E+03    0.1270665939E+02   -0.1953058742E+02   -0.1665810525E+02    0.0000000000E+00    0.9834177218E+01
     0.4960000000E+03    0.1270665940E+02   -0.1953058741E+02   -0.1665810525E+02    0.0000000000E+00    0.9834177240E+01
     0.4970000000E+03    0.1362027716E+02   -0.1876365850E+02   -0.1665472091E+02    0.0000000000E+00    0.1151133957E+02
     0.4980000000E+03    0.1385047422E+02   -0.1945054113E+02   -0.1704964641E+02    0.0000000000E+00    0.1144957951E+02
     0.4990000000E+03    0.1385047424E+02   -0.1945054110E+02   -0.1704964640E+02    0.0000000000E+00    0.1144957955E+02
     0.5000000000E+03    0.1483863250E+02   -0.1151283686E+02   -0.1497704372E+02    0.0000000000E+00    0.1830283936E+02
     0.5010000000E+03    0.1805782155E+02   -0.8636911248E+01   -0.1406473429E+02    0.0000000000E+00    0.2348564459E+02
     0.5020000000E+03    0.1807135156E+02   -0.8638737858E+01   -0.1407120658E+02    0.0000000000E+00    0.2350382028E+02
     0.5030000000E+03    0.1807135157E+02   -0.8638737855E+01   -0.1407120658E+02    0.0000000000E+00    0.2350382029E+02
     0.5040000000E+03    0.1808153939E+02   -0.8638614215E+01   -0.1407487028E+02    0.0000000000E+00    0.2351779546E+02
     0.5050000000E+03    0.1808153939E+02   -0.8638614213E+01   -0.1407487028E+02    0.0000000000E+00    0.2351779546E+02
     0.5060000000E+03    0.1811004553E+02   -0.8642035645E+01   -0.1408714400E+02    0.0000000000E+00    0.2355515388E+02
     0.5070000000E+03    0.1862848048E+02   -0.9306952485E+01   -0.1500513060E+02    0.0000000000E+00    0.2432665860E+02
     0.5080000000E+03    0.1863286348E+02   -0.9331526332E+01   -0.1502514764E+02    0.0000000000E+00    0.2432648479E+02
     0.5090000000E+03    0.1863286348E+02   -0.9331526332E+01   -0.1502514765E+02    0.0000000000E+00    0.2432648479E+02
     0.5100000000E+03    0.1868377070E+02   -0.9296364946E+01   -0.1501144696E+02    0.0000000000E+00    0.2439885272E+02
     0.5110000000E+03    0.1868518970E+02   -0.9310469527E+01   -0.1501495460E+02    0.0000000000E+00    0.2438967478E+02
     0.5120000000E+03    0.1868518971E+02   -0.9310469524E+01   -0.1501495460E+02    0.0000000000E+00    0.2438967479E+02
     0.5130000000E+03    0.1919895481E+02   -0.8072777539E+01   -0.1374447182E+02    0.0000000000E+00    0.2487064910E+02
     0.5140000000E+03    0.1922216275E+02   -0.8092273405E+01   -0.1376694506E+02    0.0000000000E+00    0.2489683440E+02
     0.5150000000E+03    0.1922216275E+02   -0.8092273406E+01   -0.1376694507E+02    0.0000000000E+00    0.2489683441E+02
     0.5160000000E+03    0.1925910663E+02   -0.8085942864E+01   -0.1376277830E+02    0.0000000000E+00    0.2493594206E+02
     0.5170000000E+03    0.1926142702E+02   -0.8092800088E+01   -0.1377119852E+02    0.0000000000E+00    0.2493982546E+02
     0.5180000000E+03    0.1926142705E+02   -0.8092800088E+01   -0.1377119853E+02    0.0000000000E+00    0.2493982548E+02
     0.5190000000E+03    0.1928219295E+02   -0.8080642462E+01   -0.1375777424E+02    0.0000000000E+00    0.2495932473E+02
     0.5200000000E+03    0.1928219297E+02   -0.8080642462E+01   -0.1375777424E+02    0.0000000000E+00    0.2495932475E+02
