#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+03    0.1140736931E+02   -0.2021692512E+02   -0.1670363688E+02    0.0000000000E+00    0.7894081067E+01
     0.1010000000E+03    0.1141220413E+02   -0.2023548419E+02   -0.1671655181E+02    0.0000000000E+00    0.7893271757E+01
     0.1020000000E+03    0.1144926617E+02   -0.2026687778E+02   -0.1673897505E+02    0.0000000000E+00    0.7921363441E+01
     0.1030000000E+03    0.1144926618E+02   -0.2026687775E+02   -0.1673897504E+02    0.0000000000E+00    0.7921363468E+01
     0.1040000000E+03    0.1145876216E+02   -0.2011738602E+02   -0.1666120258E+02    0.0000000000E+00    0.8002578726E+01
     0.1050000000E+03    0.1220029471E+02   -0.2080808439E+02   -0.1703271205E+02    0.0000000000E+00    0.8424922375E+01
     0.1060000000E+03    0.1363491991E+02   -0.1994076211E+02   -0.1712221065E+02    0.0000000000E+00    0.1081636846E+02
     0.1070000000E+03    0.1363491993E+02   -0.1994076208E+02   -0.1712221064E+02    0.0000000000E+00    0.1081636849E+02
     0.1080000000E+03    0.1404523194E+02   -0.2015285586E+02   -0.1719627074E+02    0.0000000000E+00    0.1108864682E+02
     0.1090000000E+03    0.1426394799E+02   -0.2140493925E+02   -0.1765350991E+02    0.0000000000E+00    0.1051251865E+02
     0.1100000000E+03    0.1761475084E+02   -0.8841976317E+01   -0.1445226616E+02    0.0000000000E+00    0.2322504069E+02
     0.1110000000E+03    0.1779837523E+02   -0.8713323062E+01   -0.1436842670E+02    0.0000000000E+00    0.2345347887E+02
     0.1120000000E+03    0.1779837523E+02   -0.8713323061E+01   -0.1436842670E+02    0.0000000000E+00    0.2345347887E+02
     0.1130000000E+03    0.1808852222E+02   -0.8658009530E+01   -0.1434152754E+02    0.0000000000E+00    0.2377204024E+02
     0.1140000000E+03    0.1808852225E+02   -0.8658009526E+01   -0.1434152755E+02    0.0000000000E+00    0.2377204028E+02
     0.1150000000E+03    0.1851177424E+02   -0.8932225709E+01   -0.1459261379E+02    0.0000000000E+00    0.2417216233E+02
     0.1160000000E+03    0.1921606582E+02   -0.9095619599E+01   -0.1539217291E+02    0.0000000000E+00    0.2551261913E+02
     0.1170000000E+03    0.1927980686E+02   -0.9094133961E+01   -0.1551342193E+02    0.0000000000E+00    0.2569909483E+02
     0.1180000000E+03    0.1927980693E+02   -0.9094133944E+01   -0.1551342193E+02    0.0000000000E+00    0.2569909491E+02
     0.1190000000E+03    0.1979286526E+02   -0.8403138493E+01   -0.1458368176E+02    0.0000000000E+00    0.2597340853E+02
     0.1200000000E+03    0.1995253718E+02   -0.7842831232E+01   -0.1394899829E+02    0.0000000000E+00    0.2605870424E+02
