#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.1000000000E+01   -0.5953337158E+01   -0.2521519543E+02   -0.1455454673E+02    0.0000000000E+00   -0.1661398586E+02
     0.2000000000E+01    0.7011654186E+01   -0.2082333043E+02   -0.1550586630E+02    0.0000000000E+00    0.1694190051E+01
     0.3000000000E+01    0.1172346112E+02   -0.1975475192E+02   -0.1645273338E+02    0.0000000000E+00    0.8421442581E+01
     0.4000000000E+01    0.1172346112E+02   -0.1975475300E+02   -0.1645273397E+02    0.0000000000E+00    0.8421442092E+01
     0.5000000000E+01    0.2127207634E+02   -0.8834207501E+01   -0.1547996870E+02    0.0000000000E+00    0.2791783754E+02
     0.6000000000E+01    0.2127207634E+02   -0.8834204576E+01   -0.1547996422E+02    0.0000000000E+00    0.2791783598E+02
     0.7000000000E+01    0.2155983702E+02   -0.9199774128E+01   -0.1545892315E+02    0.0000000000E+00    0.2781898604E+02
     0.8000000000E+01    0.2789193621E+02   -0.7157056976E+01   -0.1575279213E+02    0.0000000000E+00    0.3648767137E+02
