#            band          E0[eV]         EHF[eV]         Eqp[eV]      Eqp-E0[eV]      Sc_Eqp[eV]       Width[eV]      LinEqp[eV]
     0.1000000000E+01    0.8993478469E+00   -0.7304030987E+01   -0.1246470486E+01   -0.2145818333E+01    0.5942917531E+01    0.2486090811E+00   -0.4980567961E+01
     0.2000000000E+01    0.8993478470E+00   -0.7304030610E+01   -0.1246471862E+01   -0.2145819709E+01    0.5942916095E+01    0.2486091132E+00   -0.4980589046E+01
     0.3000000000E+01    0.7306491861E+01    0.2174517995E+01    0.5481017302E+01   -0.1825474559E+01    0.3301452752E+01    0.1113628673E-01    0.5464743351E+01
     0.4000000000E+01    0.7306491861E+01    0.2174518685E+01    0.5481018208E+01   -0.1825473653E+01    0.3301452966E+01    0.1113630043E-01    0.5464744162E+01
     0.5000000000E+01    0.1849803176E+02    0.2352387644E+02    0.1836585887E+02   -0.1321728884E+00   -0.5158017648E+01   -0.2334661677E-03    0.1836593437E+02
     0.6000000000E+01    0.1849803176E+02    0.2352387670E+02    0.1836585858E+02   -0.1321731839E+00   -0.5158018199E+01   -0.2334665356E-03    0.1836593437E+02
     0.7000000000E+01    0.2997446868E+02    0.4013393786E+02    0.3093531553E+02    0.9608468443E+00   -0.9203949375E+01   -0.1508289356E+00    0.3066408886E+02
     0.8000000000E+01    0.2997446868E+02    0.4013394006E+02    0.3093531526E+02    0.9608465757E+00   -0.9203951817E+01   -0.1508289401E+00    0.3066408886E+02
