 in_star,      iq
       1,      52
       2,     208
       3,     194
       4,      66
       5,     143
       6,     117
       7,     191
       8,      69
       9,      84
      10,     176
      11,      92
      12,     168
      13,      82
      14,     178
      15,     104
      16,     156
      17,      57
      18,     189
      19,     203
      20,      71
      21,     206
      22,     122
      23,      54
      24,     138
