 in_star,      iq
       1,       9
       2,     209
       3,      14
       4,      72
       5,     179
       6,      74
       7,     192
       8,      39
       9,      79
      10,     212
      11,      49
      12,     174
       1,      35
       2,      51
       3,      30
       4,     188
       5,      81
       6,     150
       7,      68
       8,     185
       9,     175
      10,      48
      11,     205
      12,      86
