 in_star,      iq
       1,      18
       2,     434
       3,      72
       4,     700
       5,     344
       6,     702
       7,     970
       8,     108
       9,     711
      10,     997
      11,     171
      12,     335
       1,      94
       2,     678
       3,      40
       4,     412
       5,     768
       6,     310
       7,     142
       8,     904
       9,     391
      10,     115
      11,     931
      12,     777
