 in_star,      iq
       1,      19
       2,     323
       3,      82
       4,     800
       5,     233
       6,     802
       7,     980
       8,     109
       9,     811
      10,     998
      11,     181
      12,     224
       1,      93
       2,     789
       3,      30
       4,     312
       5,     879
       6,     210
       7,     132
       8,     903
       9,     291
      10,     114
      11,     921
      12,     888
