 in_star,      iq
       1,     248
       2,     754
       3,     853
       4,     369
       5,     376
       6,     725
       7,     837
       8,     286
       9,     529
      10,     684
      11,     473
      12,     538
      13,     428
      14,     574
      15,     583
      16,     639
      17,     275
      18,     826
      19,     736
      20,     387
      21,     864
      22,     743
      23,     259
      24,     358
