 in_star,      iq
       1,      16
       2,     656
       3,      52
       4,     500
       5,     566
       6,     502
       7,     950
       8,     106
       9,     511
      10,     995
      11,     151
      12,     557
       1,      96
       2,     456
       3,      60
       4,     612
       5,     546
       6,     510
       7,     162
       8,     906
       9,     591
      10,     117
      11,     951
      12,     555
