 in_star,      iq
       1,     135
       2,     977
       3,     933
       4,     179
       5,     698
       6,     414
       7,     818
       8,     294
       9,     330
      10,     782
      11,     342
      12,     770
      13,     315
      14,     797
      15,     393
      16,     719
      17,     144
      18,     924
      19,     968
      20,     188
      21,     872
      22,     432
      23,     240
      24,     680
