 in_star,      iq
       1,      14
       2,     878
       3,      32
       4,     300
       5,     788
       6,     302
       7,     930
       8,     104
       9,     311
      10,     993
      11,     131
      12,     779
       1,      98
       2,     234
       3,      80
       4,     812
       5,     324
       6,     710
       7,     182
       8,     908
       9,     791
      10,     119
      11,     971
      12,     333
