 in_star,      iq
       1,     147
       2,     855
       3,     954
       4,     268
       5,     486
       6,     615
       7,     727
       8,     396
       9,     540
      10,     673
      11,     462
      12,     549
      13,     417
      14,     585
      15,     594
      16,     628
      17,     165
      18,     936
      19,     846
      20,     277
      21,     763
      22,     642
      23,     360
      24,     459
       1,     965
       2,     257
       3,     158
       4,     844
       5,     626
       6,     497
       7,     385
       8,     716
       9,     572
      10,     439
      11,     650
      12,     563
      13,     695
      14,     527
      15,     518
      16,     484
      17,     947
      18,     176
      19,     266
      20,     835
      21,     349
      22,     470
      23,     752
      24,     653
