 in_star,      iq
       1,     148
       2,     744
       3,     964
       4,     368
       5,     375
       6,     715
       7,     737
       8,     397
       9,     640
      10,     674
      11,     472
      12,     438
      13,     418
      14,     474
      15,     694
      16,     638
      17,     175
      18,     937
      19,     735
      20,     377
      21,     764
      22,     742
      23,     370
      24,     348
