 in_star,      iq
       1,      26
       2,     756
       3,      53
       4,     389
       5,     576
       6,     503
       7,     839
       8,     206
       9,     521
      10,     884
      11,     251
      12,     558
       1,      86
       2,     356
       3,      59
       4,     723
       5,     536
       6,     509
       7,     273
       8,     806
       9,     581
      10,     228
      11,     851
      12,     554
