#            band          E0[eV]          Sx[eV]        Vxcl[eV]       Vxcnl[eV]         EHF[eV]
     0.2400000000E+03    0.1208336085E+02   -0.1984485058E+02   -0.1676329902E+02    0.0000000000E+00    0.9001809280E+01
     0.2410000000E+03    0.1208336090E+02   -0.1984485059E+02   -0.1676329902E+02    0.0000000000E+00    0.9001809330E+01
     0.2420000000E+03    0.1208336096E+02   -0.1984485058E+02   -0.1676329903E+02    0.0000000000E+00    0.9001809404E+01
     0.2430000000E+03    0.1208336110E+02   -0.1984485046E+02   -0.1676329898E+02    0.0000000000E+00    0.9001809620E+01
     0.2440000000E+03    0.1208336115E+02   -0.1984485049E+02   -0.1676329900E+02    0.0000000000E+00    0.9001809660E+01
     0.2450000000E+03    0.1208336116E+02   -0.1984485043E+02   -0.1676329899E+02    0.0000000000E+00    0.9001809729E+01
     0.2460000000E+03    0.1208341946E+02   -0.1984482609E+02   -0.1676327125E+02    0.0000000000E+00    0.9001864618E+01
     0.2470000000E+03    0.1208341950E+02   -0.1984482604E+02   -0.1676327123E+02    0.0000000000E+00    0.9001864689E+01
     0.2480000000E+03    0.1208341957E+02   -0.1984482607E+02   -0.1676327124E+02    0.0000000000E+00    0.9001864739E+01
     0.2490000000E+03    0.1208341965E+02   -0.1984482603E+02   -0.1676327123E+02    0.0000000000E+00    0.9001864850E+01
     0.2500000000E+03    0.1208341973E+02   -0.1984482607E+02   -0.1676327125E+02    0.0000000000E+00    0.9001864915E+01
     0.2510000000E+03    0.1208341979E+02   -0.1984482603E+02   -0.1676327123E+02    0.0000000000E+00    0.9001864986E+01
     0.2520000000E+03    0.1208341983E+02   -0.1984482585E+02   -0.1676327116E+02    0.0000000000E+00    0.9001865135E+01
     0.2530000000E+03    0.1208342001E+02   -0.1984482585E+02   -0.1676327120E+02    0.0000000000E+00    0.9001865363E+01
     0.2540000000E+03    0.1388387927E+02   -0.1960189599E+02   -0.1708756055E+02    0.0000000000E+00    0.1136954384E+02
     0.2550000000E+03    0.1388387941E+02   -0.1960189588E+02   -0.1708756052E+02    0.0000000000E+00    0.1136954405E+02
     0.2560000000E+03    0.1388387959E+02   -0.1960189576E+02   -0.1708756047E+02    0.0000000000E+00    0.1136954430E+02
     0.2570000000E+03    0.1839815022E+02   -0.9118033463E+01   -0.1477602167E+02    0.0000000000E+00    0.2405613843E+02
     0.2580000000E+03    0.1839815027E+02   -0.9118033454E+01   -0.1477602168E+02    0.0000000000E+00    0.2405613850E+02
     0.2590000000E+03    0.1839815038E+02   -0.9118033404E+01   -0.1477602164E+02    0.0000000000E+00    0.2405613862E+02
     0.2600000000E+03    0.1839826576E+02   -0.9117951718E+01   -0.1477597378E+02    0.0000000000E+00    0.2405628783E+02
     0.2610000000E+03    0.1839826588E+02   -0.9117951690E+01   -0.1477597378E+02    0.0000000000E+00    0.2405628797E+02
     0.2620000000E+03    0.1839826589E+02   -0.9117951682E+01   -0.1477597377E+02    0.0000000000E+00    0.2405628797E+02
     0.2630000000E+03    0.1870050528E+02   -0.8085285952E+01   -0.1364729489E+02    0.0000000000E+00    0.2426251422E+02
     0.2640000000E+03    0.1870104242E+02   -0.8085021931E+01   -0.1364707826E+02    0.0000000000E+00    0.2426309875E+02
     0.2650000000E+03    0.1870104243E+02   -0.8085021932E+01   -0.1364707826E+02    0.0000000000E+00    0.2426309876E+02
     0.2660000000E+03    0.1870104247E+02   -0.8085021900E+01   -0.1364707822E+02    0.0000000000E+00    0.2426309879E+02
     0.2670000000E+03    0.1870130763E+02   -0.8084890041E+01   -0.1364697278E+02    0.0000000000E+00    0.2426339037E+02
     0.2680000000E+03    0.1870130770E+02   -0.8084890007E+01   -0.1364697276E+02    0.0000000000E+00    0.2426339045E+02
     0.2690000000E+03    0.1955070771E+02   -0.9482130501E+01   -0.1573774869E+02    0.0000000000E+00    0.2580632590E+02
     0.2700000000E+03    0.1955070797E+02   -0.9482130446E+01   -0.1573774870E+02    0.0000000000E+00    0.2580632623E+02
     0.2710000000E+03    0.1955070813E+02   -0.9482130372E+01   -0.1573774869E+02    0.0000000000E+00    0.2580632645E+02
     0.2720000000E+03    0.2005224870E+02   -0.8160378432E+01   -0.1415977631E+02    0.0000000000E+00    0.2605164657E+02
     0.2730000000E+03    0.2005224871E+02   -0.8160378374E+01   -0.1415977622E+02    0.0000000000E+00    0.2605164655E+02
     0.2740000000E+03    0.2005224882E+02   -0.8160378389E+01   -0.1415977627E+02    0.0000000000E+00    0.2605164670E+02
     0.2750000000E+03    0.2005224889E+02   -0.8160378431E+01   -0.1415977634E+02    0.0000000000E+00    0.2605164680E+02
     0.2760000000E+03    0.2005232992E+02   -0.8160377350E+01   -0.1415973500E+02    0.0000000000E+00    0.2605168757E+02
     0.2770000000E+03    0.2005232999E+02   -0.8160377247E+01   -0.1415973486E+02    0.0000000000E+00    0.2605168760E+02
     0.2780000000E+03    0.2005233013E+02   -0.8160377269E+01   -0.1415973493E+02    0.0000000000E+00    0.2605168779E+02
     0.2790000000E+03    0.2005233016E+02   -0.8160377252E+01   -0.1415973487E+02    0.0000000000E+00    0.2605168778E+02
     0.2800000000E+03    0.2005263199E+02   -0.8160258651E+01   -0.1415967528E+02    0.0000000000E+00    0.2605204862E+02
