 iks ibn en[eV] re[meV] im[meV]
   1   1   -0.2188207207E+02   -0.1489006100E+03    0.1706072431E+01
   1   2   -0.4523509265E-09   -0.1372987560E+04    0.9057922908E+02
   1   3   -0.3063335266E-09   -0.1372986725E+04    0.9057811530E+02
   1   4    0.0000000000E+00   -0.1372985301E+04    0.9058005708E+02
   1   5    0.5681790933E+01   -0.1547799351E+04    0.1436820914E+03
   1   6    0.5681790934E+01   -0.1547792652E+04    0.1436844277E+03
   1   7    0.5681790936E+01   -0.1547787791E+04    0.1436835958E+03
   1   8    0.1396659357E+02   -0.5220584205E+03    0.7669748761E+02
   2   1   -0.2075888912E+02   -0.1947751673E+03    0.8055254134E+02
   2   2   -0.5002653494E+01   -0.1100540390E+04    0.1601452232E+03
   2   3   -0.1370696492E+01   -0.1260259363E+04    0.3290522072E+03
   2   4   -0.1370696492E+01   -0.1260258126E+04    0.3290530326E+03
   2   5    0.7461161119E+01   -0.1395394780E+04    0.7782605647E+03
   2   6    0.7461161120E+01   -0.1395398837E+04    0.7782610396E+03
   2   7    0.7971862503E+01   -0.1233551144E+04    0.1849398534E+03
   2   8    0.1474650594E+02   -0.1114441178E+04    0.1612493630E+03
   3   1   -0.1752087237E+02   -0.1785479259E+03    0.1047276525E+03
   3   2   -0.1166719921E+02   -0.5457218621E+03    0.6416127715E+02
   3   3   -0.2705110132E+01   -0.1239888965E+04    0.2547423673E+03
   3   4   -0.2705110132E+01   -0.1239879336E+04    0.2547441994E+03
   3   5    0.8604578906E+01   -0.1798007852E+04    0.7603042336E+03
   3   6    0.8604578909E+01   -0.1797993356E+04    0.7603033506E+03
   3   7    0.9131568452E+01   -0.5931673035E+03    0.5887651800E+03
   3   8    0.1590587675E+02   -0.1243747012E+04    0.2470966810E+03
   4   1   -0.2038557435E+02   -0.1735445598E+03    0.6424841829E+02
   4   2   -0.3328010385E+01   -0.1190030697E+04    0.1782291477E+03
   4   3   -0.3328010385E+01   -0.1190029359E+04    0.1782301328E+03
   4   4   -0.3108831825E+01   -0.9496967595E+03    0.1657228879E+03
   4   5    0.4821444528E+01   -0.1114169866E+04    0.1419648010E+03
   4   6    0.1029948300E+02   -0.1736946467E+04    0.3213365694E+03
   4   7    0.1029948301E+02   -0.1736971114E+04    0.3213345870E+03
   4   8    0.1214861688E+02   -0.3821904708E+03    0.1092146066E+04
   5   1   -0.1783785366E+02   -0.2728099618E+03    0.2740507216E+03
   5   2   -0.8977045303E+01   -0.7022316870E+03    0.2575253285E+03
   5   3   -0.4806313453E+01   -0.1044806059E+04    0.3214598721E+03
   5   4   -0.4536888971E+01   -0.1101359694E+04    0.2698416006E+03
   5   5    0.6220492845E+01   -0.1008008333E+04    0.5439864249E+03
   5   6    0.1146695724E+02   -0.7398789957E+03    0.4016925107E+03
   5   7    0.1206940996E+02   -0.2327355289E+04    0.1271095376E+04
   5   8    0.1224508374E+02   -0.9208319130E+03    0.1128792894E+04
   6   1   -0.1535037968E+02   -0.3185574825E+03    0.2359922533E+03
   6   2   -0.1246889899E+02   -0.5905376306E+03    0.2144628655E+03
   6   3   -0.6523418100E+01   -0.8777913505E+03    0.3608487186E+03
   6   4   -0.3958974392E+01   -0.1173242484E+04    0.2701026741E+03
   6   5    0.7389836772E+01   -0.1078958534E+04    0.7091166968E+03
   6   6    0.1110120889E+02   -0.1741211422E+04    0.7377015040E+03
   6   7    0.1243211866E+02   -0.4368525884E+03    0.6977956429E+03
   6   8    0.1562992022E+02   -0.1495620400E+04    0.9005944472E+03
   7   1   -0.1892024167E+02   -0.2444927192E+03    0.1327268426E+03
   7   2   -0.7109736289E+01   -0.8978149178E+03    0.1366285643E+03
   7   3   -0.6177033070E+01   -0.9267261616E+03    0.2071278515E+03
   7   4   -0.2050493750E+01   -0.1279070972E+04    0.2238119028E+03
   7   5    0.8679083484E+01   -0.1719274934E+04    0.7674023330E+03
   7   6    0.8797789725E+01   -0.1092020191E+04    0.5263669323E+03
   7   7    0.1076322513E+02   -0.1544518189E+04    0.3328567530E+03
   7   8    0.1408511266E+02   -0.9631974213E+03    0.1769679540E+03
   8   1   -0.1604266221E+02   -0.3455863661E+03    0.6539791180E+02
   8   2   -0.9582221880E+01   -0.6190228550E+03    0.6749019526E+02
   8   3   -0.6122764098E+01   -0.1034447873E+04    0.1584064004E+03
   8   4   -0.6122764098E+01   -0.1034446590E+04    0.1584068947E+03
   8   5    0.4248762591E+01   -0.5754118431E+03    0.8610818526E+02
   8   6    0.6303711865E+01   -0.1912401054E+03    0.3106911951E+03
   8   7    0.1611829208E+02   -0.2101151543E+04    0.3166413512E+03
   8   8    0.1611829208E+02   -0.2101167670E+04    0.3166359601E+03
   9   1   -0.1290516198E+02   -0.4465327547E+03    0.1331447955E+03
   9   2   -0.1231453327E+02   -0.3575582281E+03    0.1765052049E+03
   9   3   -0.9043700673E+01   -0.9373350676E+03    0.1738587775E+03
   9   4   -0.5858227216E+01   -0.1058455131E+04    0.9219196389E+02
   9   5    0.5442793074E+01   -0.5711031355E+03    0.1665687091E+03
   9   6    0.9190580296E+01   -0.5659230900E+03    0.7113409086E+03
   9   7    0.1557423853E+02   -0.2299802796E+04    0.1170865749E+04
   9   8    0.1651020771E+02   -0.1887067173E+04    0.2993049417E+03
  10   1   -0.1479723547E+02   -0.2980815520E+03    0.2517072626E+03
  10   2   -0.1032448425E+02   -0.5757362484E+03    0.2381902113E+03
  10   3   -0.8561452908E+01   -0.7973707778E+03    0.1510490900E+03
  10   4   -0.6582221015E+01   -0.1106954012E+04    0.3330692429E+03
  10   5    0.9151471717E+01   -0.1051506598E+04    0.8496287173E+03
  10   6    0.9993892454E+01   -0.1017922822E+04    0.4321258372E+03
  10   7    0.1214222298E+02   -0.1047574852E+04    0.1359022850E+04
  10   8    0.1554352158E+02   -0.2413997895E+04    0.1084086461E+04
