 in_star,      iq
       1,      15
       2,     767
       3,      42
       4,     400
       5,     677
       6,     402
       7,     940
       8,     105
       9,     411
      10,     994
      11,     141
      12,     668
       1,      97
       2,     345
       3,      70
       4,     712
       5,     435
       6,     610
       7,     172
       8,     907
       9,     691
      10,     118
      11,     961
      12,     444
