 in_star,      iq
       1,      17
       2,     545
       3,      62
       4,     600
       5,     455
       6,     602
       7,     960
       8,     107
       9,     611
      10,     996
      11,     161
      12,     446
       1,      95
       2,     567
       3,      50
       4,     512
       5,     657
       6,     410
       7,     152
       8,     905
       9,     491
      10,     116
      11,     941
      12,     666
