 in_star,      iq
       1,      46
       2,     956
       3,      55
       4,     167
       5,     596
       6,     505
       7,     617
       8,     406
       9,     541
      10,     662
      11,     451
      12,     560
       1,      66
       2,     156
       3,      57
       4,     945
       5,     516
       6,     507
       7,     495
       8,     606
       9,     561
      10,     450
      11,     651
      12,     552
