 in_star,      iq
       1,     136
       2,     866
       3,     943
       4,     279
       5,     587
       6,     514
       7,     828
       8,     295
       9,     430
      10,     783
      11,     352
      12,     659
      13,     316
      14,     686
      15,     493
      16,     729
      17,     154
      18,     925
      19,     857
      20,     288
      21,     873
      22,     532
      23,     250
      24,     569
       1,     976
       2,     246
       3,     169
       4,     833
       5,     525
       6,     598
       7,     284
       8,     817
       9,     682
      10,     329
      11,     760
      12,     453
      13,     796
      14,     426
      15,     619
      16,     383
      17,     958
      18,     187
      19,     255
      20,     824
      21,     239
      22,     580
      23,     862
      24,     543
